sujet;texte;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0
NON a la régulation des loups nous n’avons pas a prendre la main sur la nature, le 29 novembre 2023 à 11h47;Le PNA précédent  n’a pas fait l’objet d’une évaluation de la pertinence ni de l’efficience des actions engagées afin d’en tirer des enseignements pour élaborer le nouveau PNA. En particulier, aucune analyse n’a été effectuée sur les bénéfices apportés par la protection des troupeaux et l’efficacité supposée des tirs létaux, alors que ce sont deux éléments centraux du plan. Alors que ce PNA devrait viser l’atteinte du bon état de conservation de l’espèce en France tout en assurant le soutien et l’accompagnement du pastoralisme, il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices écologiques qu’elle apporte. A l’inverse, l’élevage est présenté uniquement sous un angle positif, sans tenir compte des problèmes qu’il peut engendrer.  je suis opposé a ce projet et en demande l’abandon et le retour à un texte plus équilibré, prenant en compte les avis scientifiques et les travaux du Groupe National Loup.  Il faute laisser la nature se gerer seul nous ne somme pas les maitres du monde c’est a nous de nous y adapter.;;;;;;;;;;;;;;;;
Non au nouveau plan de tir, le 29 novembre 2023 à 11h48;Je suis opposé au plan de tir.  Vous équipez les lieutenants de louveterie de caméra thermiques,de lunettes de visée thermiques.  Vous n’avez qu’à équiper  les loups de GPS, il seront plus faciles encore à trouver. Donc je suis opposé à toutes ces gesticulations qui visent à détruire une espèce animale. Le loup est un animal protégé et on le détruit….cherchez l’erreur.  Que se passera t’il quand il ne sera plus protégé, on lancera des bombes pour détruire la Nature.?.;;;;;;;;;;;;;;;;
Avis totalement défavorable, le 29 novembre 2023 à 11h48;Je suis contre ce projet de destruction des loups qui est une espèce protégée qui permet un rééquilibrage de l’écosystème. Le dernier PNA n’a pas été évalué scientifiquement et seuls les avis des lobbys de la chasse et de l’élevage sont pris en compte.  Seuls les aspects négatifs de la présence des loups sont soulignés et uniquement les aspects positifs de l’élevage.;;;;;;;;;;;;;;;;
Avis très défavorable sur ce projet d’arrêté loup, le 29 novembre 2023 à 11h49;Protéger la biodiversité c’est protéger l’Homme. L’ensemble des mesures annoncées traduit une volonté d’extermination du loup de plus dans des conditions tellement accidentogène (tirs de nuit sans éclairage, tirs par des personnes non-assermentées) bref le Far West…. Le loup n’est pas le problème, le problème se sont ces mesures iniques qui ne sont que perte de temps et d’argent public. Pourquoi la France est le seul pays qui refuse de cohabiter avec le loup alors que des exemples de cohabitation sereine dans les pays voisins sont si nombreux ?;;;;;;;;;;;;;;;;
Respectez le loup et toute la vie sauvage, le 29 novembre 2023 à 11h50;Les Français ont vécu durant des siècles avec les loups sur leur territoire. Toute vie sauvage est respectable. Il existe de très nombreuses possibilités de protéger les troupeaux  domestiques des prédations normales et logiques du loup. On a sur la terre de France des millions d´assistés il faut les occuper à protéger les troupeaux et repousser les loups. Plus généralement la nature doit reprendre ses droits et être respectée. Il faut enfin prendre conscience que les 6 dizaines de millions d´habitants de notre Pays consomment, polluent et détruisent 20, 50 ou 100 fois plus que les Français du début du XXe siècle et donc réaliser que notre Pays ne devrait pas avoir autant d´habitants (valable pour la quasi totalité des pays de la planète). Le bon sens conduit à supprimer les `allocations familiales´ et à les remplacer par un lourd impôt sur le troisième enfant. Notre vraie richesse est la nature.;;;;;;;;;;;;;;;;
Avis défavorable, le 29 novembre 2023 à 11h50;"Ce projet est totalement contradictoire avec le statut d’espèce menacée qu’a le loup et les enjeux climatiques actuelles. Ce PNA devrait au contraire avoir pour objectif de maintenir la conservation de cette espèce ; bien sûr en prenant en compte les impacts sur les élevages pour les accompagner au mieux. Ici, vous ne soulignez que les effets néfastes de la présence de cet animal. Or, les impacts positifs pour la faune et la flore sont nombreux : réguler la population des herbivores, protéger les écosystèmes, préserver la diversité des espèces… A contrario, vous ne présentez que les impacts positifs de l’élevage sans rappeler les problèmes potentiels qui y sont liés : érosion des sols, désertification, diminution de la fertilité des terres, perturbation des écosystèmes,… Mon avis est donc défavorable à ce PNA : il serait plus logique de prendre en compte les avis scientifiques à ce sujet et surtout d’avoir un projet plus équilibré qui ne va pas uniquement privilégier les activités pastorales mais aussi prendre en compte les bénéfices apportés par le loup pour imaginer une cohabitation entre les activités humaines et cet animal.";;;;;;;;;;;;;;;;
NON au plan anti loup, le 29 novembre 2023 à 11h50;Le loup est un animal qu’il faut respecter comme tout animal. Protégeons les troupeaux, certes, mais pas en tuant les loups. Le PNA précédent n’a pas fait l’objet d’une évaluation de la pertinence ni de l’efficience des actions engagées afin d’en tirer des enseignements pour élaborer le nouveau PNA. En particulier, aucune analyse n’a été effectuée sur les bénéfices apportés par la protection des troupeaux et l’efficacité supposée des tirs létaux, alors que ce sont deux éléments centraux du plan. Alors que ce PNA devrait viser l’atteinte du bon état de conservation de l’espèce en France tout en assurant le soutien et l’accompagnement du pastoralisme, il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices .;;;;;;;;;;;;;;;;
NON au projet, le 29 novembre 2023 à 11h55;NON au plan anti loup, le 29 novembre 2023 à 11h50 Le loup est un animal qu’il faut respecter comme tout animal. Protégeons les troupeaux, certes, mais pas en tuant les loups. Le PNA précédent n’a pas fait l’objet d’une évaluation de la pertinence ni de l’efficience des actions engagées afin d’en tirer des enseignements pour élaborer le nouveau PNA. En particulier, aucune analyse n’a été effectuée sur les bénéfices apportés par la protection des troupeaux et l’efficacité supposée des tirs létaux, alors que ce sont deux éléments centraux du plan. Alors que ce PNA devrait viser l’atteinte du bon état de conservation de l’espèce en France tout en assurant le soutien et l’accompagnement du pastoralisme, il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices .;;;;;;;;;;;;;;;;
Avis défavorable sur ce PNA insuffisamment instruit par le PNA précédent et s’éloignant des objectifs initiaux., le 29 novembre 2023 à 11h55;PNA 2024-2029 Plan National sur le Loup Avis défavorable sur ce PNA insuffisamment instruit par le PNA précédent et s’éloignant des objectifs initiaux. * Le CNPN (Conseil National de la Protection de la Nature) a émis un avis défavorable à l‘unanimité. Le CNPN avait déjà émis des réserves sur le précédent plan PNA 2018-2023 parce que majoritairement dédié à la protection de l’élevage contre le Loup et ne laissant que la portion congrue à la conservation de l’espèce et à son rôle dans les écosystèmes. Ce nouveau plan confirme cette dérive sur plusieurs points. * Le bilan/évaluation exigé par le plan précédent n’a pas fourni l’analyse prévue, notamment sur l’efficacité des mesures, sur les perspectives d’évolution. * La notion de « non protégeabilité » est une particularité française contestée, notamment par l’IGEDD et le CGAAER (Inspection Générale de l’Environnement et du Développement Durable & Conseil Général de l’Alimentation de l’Agriculture et des Espaces Ruraux, rapport du 19/12/2023) qui en recommande l’abandon notamment pour les bovins, qui considère que les dispositions relatives à la « non protégeabilité » sont non justifiées techniquement et ne pourraient qu’être temporaires. * Le CNPN rappelle que la préservation de la faune est la priorité dans les espaces protégés (pas de tir létal, pas d’effarouchement). * Le CNPN réclame la réalisation de l’étude des effets du Loup sur les écosystèmes, prévue par le PNA 2018-2023, étude permettant d’instruire et de justifier le PNA 2024-2029, plutôt que de reporter cette étude au PNA suivant. Sur ce point, la Chasse sous-tend une pression lobbyiste sur ce PNA à propos de l’impact du loup sur la biodiversité : la fédération départementale des chasseurs de la Drôme s’est alarmée d’une « catastrophe cynégétique et écologique en cours » imputée à la « surdensité » de loups. * Le déclassement du statut de protection de l’espèce en même temps que de nouvelles mesures facilitant le tir létal en l’absence d’agents assermentés, vont à l’encontre de la recherche de solutions de cohabitation avec l’élevage et le pastoralisme, une brèche à l’encontre de l’attitude politique nécessaire pour la protection de la biodiversité.;;;;;;;;;;;;;;;;
Non à la mort du Loup , le 29 novembre 2023 à 11h55;Les animaux régulent leur population sans notre sotte intervention.La destruction du Loup c’est encore donner raison celui qui porte une arme.Tuer ou analyser et comprendre ?Tirer est tellement plus facile.Nos voisins s’accommodent du Loup 🐺 et pas nous ?;;;;;;;;;;;;;;;;
Non à  ce  PNA, le 29 novembre 2023 à 11h57;•	Nous  attendons  toujours  l’évaluation  du  précédent  PNA : y-a-t-il  quelqu’un  au  ministère  qui  travaille  sur  cela ? •	Seuls  sont  évoqués les  impacts  négatifs   de la  présence  du  loup •	Et  les  impacts positifs  de  l’élevage  (la  liste  des  dégâts  du  pastoralisme à  outrance en  haute  montagne  suffirait à justifier  la protection stricte  du  loup) •	Projet est contraire à l’objectif d’assurer un bon état de conservation ,  objectif  porté la Convention de Berne de 1979 et  la Directive Habitats de 1992,. précédent inacceptable qui  augure du  pire dans le domaine de la protection de la faune sauvage. •	Avis  négatif   du Conseil National de Protection de la Nature, non  pris  en  compte  par  ce  projet;;;;;;;;;;;;;;;;
Contre le PNA concernant le Loup, le 29 novembre 2023 à 11h58;La biodiversité est en berne … On clame partout qu’il faut la protéger et que fait le gouvernement ? encore une fois, un arrêté qui détruit !! Le loup a toute sa place sur Terre, respectons-le !! On doit le protéger ! Le Conseil National de Protection de la Nature, instance scientifique indépendante consultée dans le cadre de l’élaboration de ce PNA, a produit un avis négatif sur cet arrêté sans que cela ait conduit à la moindre modification du texte. A quoi sert-il ?  Son avis doit aussi être respecté ! mme Tagliavini;;;;;;;;;;;;;;;;
Loup, le 29 novembre 2023 à 11h59;Est-il bien utile de décimer une espèce utile a l’équilibre de la nature comme Canis Lupus pour dispenser de surveillance de leurs animaux d’élevage des gens qui surexploitatent laitiairement de pauvres mammifères en les détroussant de tout leur lait une fois bien surchargés par la production exagérée de ce dernier et qui bénéficient d’espaces publics gratuits (montagnes entre autre) qui ne leur sont pas réservés ? C’est déraisonnable pour ne pas dire complètement stupide et idiot.;;;;;;;;;;;;;;;;
Avis défavorable sur le projet PNA sur le loup, le 29 novembre 2023 à 12h00;"<span class=""puce"">- à l’heure où l’on s’inquiète de la perte de biodiversité, il me semble que ce projet de PNA qui vise à limiter la présence du loup va à l’encontre de la protection de la biodiversité qui devrait être un objectif central de tout plan concernant la faune et la flore. Il faut faire des efforts pour laisser plus de place à la nature sauvage même si ce n’est pas toujours simple. <span class=""puce"">- avant de mettre en place un nouveau PNA, il serait bon de faire une évaluation du PNA précédent et de s’appuyer sur cette évaluation pour élaborer le nouveau plan. <span class=""puce"">- le conseil national de protection de la nature qui a été consultée pour ce PNA a émis un avis négatif qui n’a pas de tout été pris en compte dans le projet.";;;;;;;;;;;;;;;;
NON NON NON  au plan loup, le 29 novembre 2023 à 12h01;Je suis opposée à ce nouveau plan loup car il prévoit l’abattage de loups alors que c’est une espèce clé de voute de la biodiversité ! ET qu’à force de détruire la biodiversité, nous nous détruisons nous-même !!!  Nous avons besoin du loup pour retrouver une biodiversité équilibrée et pérenne. Merci à vous de revoir le documentaire sur le parc du Yellowstone qui a réintégré les loups et les bisons et toutes les retombées positives que cela a eut !!!!!!;;;;;;;;;;;;;;;;
Non à la destruction du loup, le 29 novembre 2023 à 12h01;Pourquoi tuer les loups alors que les chasseurs et les agriculteurs disent qu’ils faut réguler les ongulés ? Nous pouvons sans aucun problème cohabiter avec le loup, celui-ci participe à la biodiversité;;;;;;;;;;;;;;;;
Contestation du Projet d’Arrêté sur la Gestion de la Population de Loups, le 29 novembre 2023 à 12h01;Madame, Monsieur, Je souhaite exprimer mes préoccupations concernant le projet d’arrêté modifiant la gestion de la population de loups, et en particulier les conditions dans lesquelles les dérogations aux interdictions de destruction de ces animaux sont accordées. Conservation de l’Espèce en Danger : Le loup, bien qu’étant classé en « préoccupation mineure » au niveau international, est classé « vulnérable » en France métropolitaine. Cette classification implique une responsabilité accrue pour assurer la protection et la conservation de cette espèce sur notre territoire. La révision proposée du projet d’arrêté semble faciliter les conditions de destruction des loups, ce qui pourrait mettre en péril les efforts de conservation. Impact sur l’Équilibre Écologique : Les loups jouent un rôle crucial dans l’équilibre des écosystèmes. En régulant les populations de leurs proies, ils contribuent à maintenir la diversité et la santé des habitats naturels. Une augmentation des tirs autorisés pourrait déséquilibrer cet écosystème fragile. Solutions Alternatives et Éthiques : Bien que la protection des troupeaux soit essentielle, il est important de privilégier des solutions non létales. Les méthodes d’effarouchement, les clôtures électrifiées, ou encore l’utilisation de chiens de protection sont des alternatives viables et moins dommageables pour la conservation de l’espèce. Manque de Clarté et Risques d’Abus : La modification de l’article 11, qui supprime l’obligation d’éclairer la cible pour un tir de nuit et étend l’usage de dispositifs de type « caméra thermique », pourrait ouvrir la voie à des abus et rendre difficile la surveillance et le contrôle de ces activités. Respect des Engagements Internationaux : La France, en tant que signataire de la Convention de Berne, a pris des engagements en matière de protection des espèces menacées. Ce projet d’arrêté semble aller à l’encontre de ces engagements internationaux, ce qui pourrait ternir l’image du pays sur la scène environnementale mondiale. En conclusion, bien que la protection des troupeaux soit une préoccupation légitime, il est impératif de trouver un équilibre qui respecte également les impératifs de conservation de la faune sauvage. Je suggère donc une réévaluation de ce projet d’arrêté pour s’assurer qu’il respecte les engagements de conservation de la biodiversité tout en protégeant les intérêts des éleveurs de manière éthique et durable. Je vous remercie de prendre en considération ces points dans votre révision du projet d’arrêté. Cordialement, frederic lubrano;;;;;;;;;;;;;;;;
Résolument contre le PNA 2023-2029, le 29 novembre 2023 à 12h03;"Après avoir cédé aux lobbies de l’agro-alimentaire (cf. glyphosate), au tour des lobbies chasse ou élevage ? Est-ce de cette manière que Madame BORNE compte mettre en place sa ""Stratégie Nationale Biodiversité"" annoncée le 27 novembre dernier ? Dont l’effondrement - je la cite - constitue ""une menace existentielle "", qu’il convient ""d’endiguer rapidement et inverser la tendance"". Commençons donc par protéger la nature qui nous entoure en portant un regard OBJECTIF sur la présence du loup. Bruno Pihen - Pessac";;;;;;;;;;;;;;;;
NON au Plan National d’Action (PNA), le 29 novembre 2023 à 12h03;En Europe, le loup est protégé par la Convention de Berne (1979) transcrite dans le droit français en 1989. Il est inscrit dans les annexes II et IV de la directive « Habitats » de l’Union Européenne et fait partie des espèces prioritaires. En France, l’espèce est protégée sur le territoire national par l’arrêté ministériel du 22 juillet 1993 publié à la suite des premières observations attestées du loup en France (mis à jour le 23 avril 2007). Ce statut implique pour les États, donc pour la France, de veiller à la conservation de l’espèce et de ses habitats. L’extension des villes a restreint leur milieu naturel, qui est devenu trop étroit et inhospitalier pour les meutes de loups. C’est donc de notre entière responsabilité que le loup est devenu une difficulté pour les éleveurs. Nous nous devons donc de le protéger ! Ce Plan ne doit en aucun cas mettre en danger le loup en permettant des dérogations aux interdictions de destruction accordées par les préfets. Le soucis du BIEN COMMUN doit impérativement passer avant le soucis individuel !;;;;;;;;;;;;;;;;
Non à la chasse aux loups, le 30 novembre 2023 à 07h57;l’état français devrait-être condamné pour sa politique de destruction massive de l’espèce  protégée par la convention de Berne. L’utilité des loups n’est pus à démontrer, ils sont les régulateurs les plus efficaces de la grande faune de notre pays. À l’exemple d’autres pays européen il faut cohabiter plutôt que détruire. Laissez les vivre !!;;;;;;;;;;;;;;;;
Avis défavorable - le loup est un maillon indispensable à la Nature, le 30 novembre 2023 à 07h59;L’homme n’est qu’un autre maillon mais il oublie qu’il fait partie intégrante de cette Nature. En tuant et supprimant tout ce qui le gêne, l’homme crée le chaos. La biodiversité ne peut perdurer qu’en maintenant l’équilibre et cela a été démontré notamment dans les grands parcs nationaux américains en réintroduisant et en protégeant le loup. Au lieu de les dénigrer, l’état devrait tenir compte des études scientifiques et être le garant de notre survie en maintenant cet équilibre naturel.;;;;;;;;;;;;;;;;
Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus) | Consultations publiques, le 30 novembre 2023 à 07h17;Thanks for finally writing about > Projet d’arrêté fixant les conditions  et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être  accordées par les préfets concernant le loup (Canis lupus) | Consultations publiques satta king;;;;;;;;;;;;;;;;
Pourquoi tuer une espèce indispensable et dont la survie est menacée ?, le 30 novembre 2023 à 07h18;"Classer comme préoccupation ""mineure"" la survie d’une espèce indispensable à la santé de l’écosystème est aussi un non-sens et au lieu de dérogations pour tuer il faudrait plutôt rappeler aux bergers que ce sont les moutons qui ne sont pas à leur place, que les troupeaux sont en surnombre dans l’espace qu’ils occupent et que le loup ne les attaque généralement qu’en dernier recours, notamment parce que les activités humaines ont réduit leurs autres sources de nourriture ou se passent dans un territoire qui ne devrait pas être utilisé à cet effet. Il a été démontré à maintes reprises que la présence du loup est bénéfique tous grâce à son action de régulation de la faune et donc de la flore de son environnement. Il a aussi été démontré depuis des siècles que vouloir tuer tout ce qui dérange quelques égoïstes mal instruits au lieu d’éduquer finit par nous causer du tort à tous.";;;;;;;;;;;;;;;;
Avis très défavorable - , le 30 novembre 2023 à 07h23;Les éleveurs ne sachant pas élevé des troupeaux en prenant en compte leur environnement et celui du Loup n’ont rien à faire d’autre que de redevenir citadin. Le loup fait partie de notre biodiversité oublié et mérite toute notre attention à sa réintroduction. Il régule notament les populations de gibiers comme le sanglier, le chevreuil rats.. Encore une fois le gouvernement fait montre d’une insolence et d’une prédation sur le vivant, le quinquennat sera écologique..ou pas ! Des solutions avec des chiens patous ou des chiens d’accompagnement existent et cela fonctionne très bien partout où cela est mis en place. Ce sont les éleveurs ne sachant pas élevé qui encore une fois feraient bien de faire autre chose que de s’occuper du vivant.;;;;;;;;;;;;;;;;
regulation  du  loup, le 30 novembre 2023 à 07h49;controle  les  loups  avant qu  ils  deviennent  incontrolables;;;;;;;;;;;;;;;;
Scandaleux, le 30 novembre 2023 à 07h52;Non à ce projet, Laissons les loups vivrent leur vie sans l’homme. La nature avant tout. Respectons l’autre surtout un animal qui ne demande rien d’autre que de vivre;;;;;;;;;;;;;;;;
NON à la chasse au loup, le 30 novembre 2023 à 07h54;Le loup a sa place sur notre territoire, c’ est à l’homme de s’adapter. Les troupeaux sont beaucoup trop importants en nombre d’individus, ce qui les rend difficile à surveiller. peut etre aussi qu’il lui faudrait plus de faune sauvage à chasser, mais les chasseurs font deja le travail… Les hommes veulent toujours tout controler ! Je comprends les eleveurs, mais je pense qu’il y a d’autres façons de les aider à limiter les attaques.;;;;;;;;;;;;;;;;
Non à la chasse au loup, le 30 novembre 2023 à 05h55;Rien ne justifie l’abattage du moindre loup, à l’homme de s’adapter et de modifier ses pratiques pour coexister avec le loup.;;;;;;;;;;;;;;;;
Avis Favorable, le 30 novembre 2023 à 06h28;Bien entendu ce projet arrive encore tard. Mais il est nécessaire et devrait aller encore plus loin dans la régulation du loup, prédateur dont la présence est incompatible avec l’élevage . Sauf peut être dans le monde virtuel de certains citadins…;;;;;;;;;;;;;;;;
Favorable à la régulation du loup, le 30 novembre 2023 à 06h50;Soutien aux éleveurs.  Le loup nuit à la biodiversité dû à l’abandon des estives par les bergers. Fermeture des milieux et des espèces inféodé à ces derniers.;;;;;;;;;;;;;;;;
AVIS DÉFAVORABLE  , le 30 novembre 2023 à 06h58;L’engagement de l’Etat en faveur de la modification du statut de protection du loup et son déclassement d’espèce strictement protégée, (voir la Convention de Berne de 1979 ) est contraire à l’objectif d’assurer un bon état de conservation. Précédent inacceptable dans un PNA, qui ouvre une brèche inquiétante dans le domaine de la protection de la faune sauvage.  De telles mesures visant à introduire une régulation de la population lupine française, en contradiction avec le droit communautaire et national, constituent un non-sens en termes de biologie de la conservation. La biodiversité apportant un équilibre à  l’écosystème naturel il est urgent  de cesser   d’intervenir à tout va  sur celle ci .Elle n’en s’en portera que mieux .  Il serait par contre essentiel  de favoriser  pour les éleveurs  la formation et l’acquisition de  chiens patous et  de cesser   d’institutionnaliser  la destruction du vivant sauvage ! L’humanité a besoin  de la nature  et pour cela il lui faut la respecter en apprenant à vivre avec  et pas  contre !;;;;;;;;;;;;;;;;
CONTRE l’abattage des loups, le 30 novembre 2023 à 07h08;Une fois de plus l’homme oublie qu’il doit partager cette Terre avec ses autres occupants quels qu’ils soient, et qu’il en va de la survie de notre espèce aussi. C’est à nous de nous adapter à l’écosystème et non l’inverse.  Cette décision est prise pour des motifs purement économiques. Il y a d’autres moyens d’accompagner les bergers.;;;;;;;;;;;;;;;;
Non a la stérilisation des espaces , le 30 novembre 2023 à 07h15;C’est quand hallucinant cette tendance à l’ultra-controle et cette volonté tout stériliser. Laissons les loups et la nature de manière générale vivre tranquille ! Mais j’imagine que c’est sans compter que les lobbies es chasseurs, ultra-nombrilistes, bourrés de fric et de bulletins de vote juteux…;;;;;;;;;;;;;;;;
Garder nos loups, le 30 novembre 2023 à 05h55;Le loup apporte beaucoup de positif à l’environnement, ainsi que tous les animaux sauvages, ils apportent l’équilibre. Un élevage est guidé par la rentabilité pécuniaire qu’attend l’humain et pas souvent l’amour de l’animal, comment faisait le monde des éleveurs il y a quelques années? Laissez les loups vivre et la nature être belle.;;;;;;;;;;;;;;;;
NON a la chasse aux loups !!!, le 30 novembre 2023 à 03h30;La France est encore en-dessous de certains pays d’Europe pour le problème des loups.  Pourquoi l’Espagne , l’Italie et l’Europe centrale n’ont pas installé la chasse aux loups… je suis contre cette loi soi-disant écologique et qui ne l’est pas du tout ! Les éleveurs doivent s’aider de chiens et de moyens modernes pour proteger leerus troupeaux ! mais surtout ne pas toujours taper sur le loup !  Ou alors est-ce encore le lobby de la chasse qui est à la manoeuvre ?  Denise DFUPRE .;;;;;;;;;;;;;;;;
loup, le 30 novembre 2023 à 05h36;soutiens aux eleveurs;;;;;;;;;;;;;;;;
Avis défavorable, non au massacre des loups, le 30 novembre 2023 à 00h54;Il existe d’autres solutions que de recourir de manière systématique à la destruction des animaux sauvages, comme par ex, soutenir les éleveurs dans la mise en place des moyens de protection… Il faut que soit pris en compte l’avis négatif du Conseil National de la Protection de la Nature qui s’est prononcée sur les différents points du nouveau PNA. Je suis totalement contre le projet d’arrêté qui simplifiera qui permettra de multiplier les abattages de loup, en contradiction avec le droit communautaire et national…;;;;;;;;;;;;;;;;
Avis défavorable, le 29 novembre 2023 à 21h54;Tuer un loup dans une meute affaiblira cette meute qui s’attaquera ainsi davantage à des animaux d’élevage plutôt qu’à des proies sauvages… A l’opposé de l’effet recherché;;;;;;;;;;;;;;;;
Contre, le 29 novembre 2023 à 21h54;Le retour du loup est l’opportunité de rééquilibrer naturellement la biodiversite  Cela ne peut toutefois se faire sans aides aux bergers pour la protection des troupeaux.;;;;;;;;;;;;;;;;
Avis défavorable à ces dispositions, le 29 novembre 2023 à 22h00;Le nombre de loups qu’il est prévu de tuer est inadmissible . Surtout il n’est tenu aucun compte de l’avis du CNPN . Les associations sont méprisées , seul les agriculteurs et les chasseurs sont écoutés;;;;;;;;;;;;;;;;
AVIS DEFAVORABLE, le 29 novembre 2023 à 22h06;Je suis contre votre projet. Tuer un loup au hasard est inutile : au delà de n’apporter aucune réelle solution à l’éleveur, cela déséquilibre la meute qui attaque moins les troupeaux que les loups isolés ! C’est contre-productif et c’est à contre-courant des envies écologiques du gouvernement ! Inspirons-nous de la cohabitation réussie chez nos voisins italiens. La clé de la réussite est la coexistence ! Mais écoutez-vous nous ? ! On a l’impression que les chasseurs & co. sont plus écoutés…;;;;;;;;;;;;;;;;
projet de tirs contre le loup, le 29 novembre 2023 à 22h07;Tout à fait contre ce projet de tirs du loup. Il existe d’autres solutions que de toujours recourir à la destruction des animaux sauvages. Le loup a sa place dans la chaîne du vivant en tant que prédateur. Protégeons l’habitat sauvage pour maintenir l’équilibre nécessaire à la survie de tous les écosystèmes. Il faut suivre les recommandations du CNPN .;;;;;;;;;;;;;;;;
Avis défavorable, le 29 novembre 2023 à 22h09;Tuer un loup dans une meute va la déséquilibrer et du coup, certains ne seront plus capables de chasser du gibier sauvage, et vont se tourner vers des animaux d’élevage. j’ai connu cela. Les arguments des chasseurs ne tiennent pas la route : ils disent ne pas arriver à réguler le gros gibier, et ce depuis des décennies. Le loup arrive juste, et ces derniers disent qu’il n’y a plus de gibier… Arrêtons donc la chasse, le travail est fait !;;;;;;;;;;;;;;;;
Avis défavorable , le 29 novembre 2023 à 22h13;La présence de loups est une preuve qu’il est encore possible de restaurer la biodiversité, nous devons favoriser le développement de leur présence et s’adapter à une cohabitation à travers un suivi sérieux et la sensibilisation des publics;;;;;;;;;;;;;;;;
Cohabitation , le 29 novembre 2023 à 22h16;Il est urgent de changer notre regard sur la faune sauvage et de réaliser ce que la biodiversité apporte à l’équilibre des écosystèmes naturels. Redonnons de la place aux autres espèces en assumant politiquement la légitimité de leur présence à nos côtés. Au nom de quoi l’espèce humaine est-elle plus légitime que les autres espèces !!;;;;;;;;;;;;;;;;
Avis défavorable, le 29 novembre 2023 à 22h19;Arrêtons le massacre ! Toutes ces mesures d ’ assouplissement qui permettront de tuer plus et plus facilement des loups ont pour seul but de satisfaire les éleveurs qui ne veulent pas mettre en place les mesures de protection des troupeaux . Les cas de non protégeabilité des troupeaux devraient représenter une infime minorité des cas et en aucune façon être la règle qui autorise l ’ abattage des loups. Dans les cas exceptionnels où un loup doit être abattu il serait préférable que cette mission soit confiée exclusivement à des agents de l ’ OFB , pas à des chasseurs qu ’ ils soient lieutenants de louveterie ou « simples » chasseurs.;;;;;;;;;;;;;;;;
Opposition au projet d’arrete concernant le loup, le 29 novembre 2023 à 22h20;L’arrete semble considerer que les seules activites economiques qui doivent etre prises en compte et protegees  dans la France rurale sont celles liees a l’elevage et la solution de controle proposee     concerne uniquement la depredation sur les troupeaux. En fait si l’on considere de facon plus generale le role d’auxiliaire biologique du predateur , le loup peut apparaitre comme un allie dans la lutte contre les degats agricoles engendres par les sangliers (Plus de 28,000 hectares impactes en 2022). Le loup demeure en Europe le principal predateur  du sanglier. En Italie , par exemple, le sanglier represente pres de la moitie des ongules predates par le loup. Pas de reponse toute faite a la gestion parallele des populations de sangliers et de loups mais plutot une gestion locale, differenciee qui prend en compte le role important du loup dans le bon fonctionnement des ecosystemes et de  toutes les pratiques agricoles.;;;;;;;;;;;;;;;;
Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus), le 29 novembre 2023 à 22h23;Le Plan National d’Action sur le loup ne vise pas à favoriser la cohabitation entre le loup et les activités humaines mais à diminuer de plus en plus sa présence dans son territoire naturel. Le PNA ne met surtout en avant les effets négatifs de la présence du loup sans tenir compte des aspects positifs. Les avis des experts scientifiques ainsi que les travaux du Groupe National Loup n’ont pas été pris en compte. Je suis contre le déclassement du loup comme espèce strictement protégée tel que mentionné dans la Convention de Berne et dans la Directive Habitats. Ce processus engagé est inacceptable et ouvre des perspectives néfastes à la protection de la faune sauvage. Je demande que soit pris en compte l’avis négatif du Conseil National de la Protection de la Nature qui s’est prononcée sur les différents points du nouveau PNA. Je suis contre le projet d’arrêté qui simplifiera qui permettra de multiplier les abattages de loup, en contradiction avec le droit communautaire et national. Marie-France Ramon;;;;;;;;;;;;;;;;
