sujet;texte
Les loups, le 1er décembre 2023 à 23h39;"Totalement contre cette ""régulation"""
Non au massacre des loups, le 1er décembre 2023 à 23h41;Il est temps de considérer les animaux. Les loups ne sont pas une menace mais les hommes oui. Réapprendre à vivre avec la faune est de notre devoir. Protégeons la biodiversité. Protégeons ces loups qui ont autant le droit de vivre que n’importe quelle espèce. Renforcez les protections des troupeaux en vérifiant que les éleveurs suivent les règles correctement. Il y en a marre de ce gouvernement qui tue la planète et pense que l’argent va le nourrir, le soigner, etc…  Lorsque l’on se balade on ne voit même plus d’animaux tellement ils ont disparu ou peur de nous pourtant il n’y a rien de plus beau sur terre quobserver la faune sauvage vivre sa vie. Protégeons les loups comme nos voisins italiens. Développons enfin de l’ésotérisme en France afin de contribuer à la protection de ces espèces et de l’environnement. Je ne veux pas vivre dans un monde détruit !!! Il me reste encore tellement d’année à vivre et pensez à vos enfants et petits enfants.
Avis défavorable pour ce nouveau PNA loups, le 27 novembre 2023 à 17h43;Totalement contre ce plan qui ne prend pas en compte les bénéfices que peut apporter le loup.
Avis totalement défavorable, le 27 novembre 2023 à 17h43;"Un funeste projet, mis sur la table sous la pression du lobby de la chasse française ! Il est temps que l’humain cesse d’être paternaliste et cesse de se poser en temps que régulateur ultime du vivant qui l’entoure. Une nature saine sait s’autoréguler, une nature saine c’est une nature où les loups et les VERITABLES prédateurs naturels (loups, lynxs, ours… certainement pas les humains) sont présents et remplissent leur rôle dans cet écosystème complexe. Arrêtons simplement d’élever des animaux pour les tuer et les manger, cela règlera le problème, en plus d’une grande part de celui qui engendre le dérèglement du climat. Sortons de notre anthropocentrisme et regardons le vivant (dont l’humain fait partie intégrante) d’un autre regard. Comme vous le soulignez, le loup est une espèce protégé en Europe qui ne compte à l’heure actuelle quelques 1 000 membres. Nous, humains, sommes en surpopulation, pour autant, nous n’allons pas nous autoréguler (les maladies et le climat s’en chargerons à notre place). Ce serait immoral, pourquoi n’en est-il pas de même pour les loups ici? Il y en a assez que les chasseurs (qui ne comptent qu’environ 2% de la population française) et leur lobby, se donnent autant de droit et se portent garant de la ""régulation"" des animaux sauvages en prétendant être écologiques… Les ruraux qui vivent proche des zones de chassent vivent dans la peur et en ont marrent d’entendre la violence des tirs lâches de ces mal embouchés (trop souvent alcooliques) ! STOP A LA CHASSE, LAISSONS LA NATURE FAIRE SON TRAVAIL ET AIDONS LA DANS LE BON SENS ! (réintroduisons des prédateurs naturels pour véritablement réguler sans traces de plomb, et arrêtons l’élevage des animaux pour les manger !) Merci de bien vouloir écouter la parole citoyenne."
Totalement contre ce plan, le 27 novembre 2023 à 17h46;Je suis contre la chasse et pour qu’on laisse faire la nature comme c’était le cas avant l’Homme ne détruise tout !!
Avis défavorable au PNA 2024-2029 , le 27 novembre 2023 à 17h50;Des pays européens vivent avec les grands prédateurs , très peu d’accident sont répertoriés et le tourisme c est développé autour de la biodiversité . Pourquoi en France la seule solution est de tuer . C’est une question de volonté , par l éducation et l ’information les mentalités peuvent changer . Nous devons pas être pour ou contre le loup mais apprendre à vivre avec . Il est fait mention que du négatif repris par certain journalistes de grandes écoutes. Sauver pour nos enfants et petits enfants les grands prédateurs  et  la biodiversité  , c est notre rôle .
Avis totalement défavorable, le 27 novembre 2023 à 17h52;Un funeste projet, mis sur la table sous la pression du lobby de la chasse française ! Une nature saine sait s’autoréguler, une nature saine c’est une nature où les loups et les VERITABLES prédateurs naturels (loups, lynxs, ours… certainement pas les humains) sont présents et remplissent leur rôle dans cet écosystème complexe. La protection des loups n’est pas abordée dans ce projet Aucun objectif de protection des loups ne figure dans le projet alors que l’espèce est classée « vulnérable » en France. Rien n’est prévu pour garantir que la population de loups se portera bien à l’avenir. Le projet de PNA va même jusqu’à acter la nécessité de renforcer le recours aux tirs létaux. D’après le CNPN, la continuité des tirs, y compris durant la période de reproduction, est contraire à l’essence même du statut d’espèce protégée. Le projet de PNA favorise l’élevage au détriment des loups Il inverse la logique des PNA, censés être protecteurs, et se fait l’écho de la grogne anti-loups des éleveurs qu’il défend. Il maintient le principe injustifié de non-protégeabilité des troupeaux de vaches : un éleveur peut laisser son troupeau de vaches vagabonder sans aucune surveillance ni protection, puis venir réclamer des autorisations pour tuer des loups. Arrêtons simplement d’élever des animaux pour les tuer et les manger, cela règlera le problème, en plus de celui du dérèglement du climat. Sortons de notre anthropocentrisme et regardons le vivant (dont l’humain fait partie intégrante) d’un autre regard. STOP A LA CHASSE, LAISSONS LA NATURE FAIRE SON TRAVAIL ET AIDONS LA DANS LE BON SENS ! (réintroduisons des prédateurs naturels pour véritablement réguler sans traces de plomb, et arrêtons l’élevage des animaux pour les manger !) Merci de bien vouloir écouter la parole citoyenne.
Non au nouveau PNA, le 27 novembre 2023 à 17h52;"Entre 2018 et 2022 : <span class=""puce"">- La situation des dommages dans les Alpes s’est améliorée (-22% de dommages par rapport à 2018) <span class=""puce"">- La population de loup s’est considérablement accrue (+110%) Ceci montre que les éleveurs se sont adaptés en mettant des moyens de protection efficaces. Pourquoi alors vouloir tuer plus facilement des loups ? Non à ce PNA Le PNA loup ne doit pas être un PNA pastoralisme. Il existe suffisamment de dispositifs d’aide à l’élevage pour ne pas en rajouter un autre dans un PNA censé préserver une espèce protégée : le loup. Non à ce PNA La consommation de viande des français ne cesse de diminuer, notamment celle d’ovin. A quoi bon vouloir rajouter des aides pour favoriser un élevage préjudiciable aux sols et aux écosystèmes. Non au volet pastoralisme de ce PNA !"
DEFAVORABLE, le 27 novembre 2023 à 20h45;"Ce PNA est déséquilibré : il ne vise pas à favoriser la coexistence entre le loup et les activités humaines. Le loup a sa place dans l’écosystème. L’homme est un ""loup"" pour l’homme, inutile de l’être pour le loup aussi. Intéressons nous aux aspects bénéfiques de sa présence. Le Conseil National de Protection de la Nature, instance scientifique indépendante consultée dans le cadre de l’élaboration de ce PNA, a produit un avis négatif : tenez-en compte."
Je suis opposé à ce plan, le 27 novembre 2023 à 20h46;"Ce plan est plutôt un plan ""a charge"" pour le loup Il ne tient pas compte ou de façon très partielle du plan précédent  Il oublie dans l’évaluation les effets bénéfiques en terme de biodiversité du loup Il me semble que le comité national de protection de la nature a émis un avis négatif  Ce plan est indigne compte tenu des connaissances du sujet en France  Cordialement"
Avis défavorable , le 27 novembre 2023 à 20h46;La préservation de cette espèce est déterminante pour le maintien de l’équilibre écologique. Les études et scientifiques nous l’ont d’ores et déjà démontré.
Sauver les loups. , le 27 novembre 2023 à 20h47;Les loups sont important à l’équilibre et la biodiversité. Les loups sont une espèces menacer en France donc c’est un scandale de vouloir faire cette loi.
Avis défavorable, le 27 novembre 2023 à 20h53;L’objectif de ce PNA sur le loup devrait être de favoriser la coexistence entre les humains (et notamment éleveurs) et les loups, et il n’en est rien. Au contraire, il ne souligne que les impacts négatifs du loup sur l’élevage, et en aucun cas les bénéfices qu’apporte cette espèce sur la biodiversité et ses écosystèmes.  Il n’y a pas à choisir entre les loups ou le pastoralisme, nous devons apprendre à vivre ensemble.  Je rappelle par ailleurs que le Conseil Naturel de Protection de la Nature a émis un avis défavorable concernant ce PNA.
DEFAVORABLE, le 27 novembre 2023 à 20h53;"Le loup doit être protégé comme toutes les espèces. La biodiversité est en déclin. Comment peut-on voir que les effets négatifs du loup? Aucune évaluation n’a été faite des mesures précédentes et on se contente ici de tuer… Avec une vision à court terme.  L’analyse est médiocre ; les indemnités sont importantes pour les éleveurs. Que demandent-ils encore? Les lobbyists de la FNSEA et des chasseurs sont à l’action !!! Et le gouvernement est faible…"
Non à ce déclassement ! , le 27 novembre 2023 à 23h23;Il n’y a aucune vraie bonne raison de déclasser cette espèce.
Avis défavorable au projet !, le 27 novembre 2023 à 23h25;Le loup est une espèce protégée, il est scandaleux que ce classement soit ainsi remis en cause, qui plus est sans analyse approfondie des résultats du PNA 2018-2023.
Non à ce déclassement !, le 27 novembre 2023 à 23h28;Le PNA est lacunaire et ne mentionne pas les bénéfices apportés par cette espèce. Il faut suivre un modèle à l’italienne.
Refus du projet, le 27 novembre 2023 à 23h40;Les éléments présentés ne sont pas étayés de preuves tangibles et ne prennent pas en compte le respect des animaux aux profit de celui des éleveurs. Des expériences sont réalisées avec des patous et des bergers formés à cette methode de gardiennage qui peuvent largement être dupliquées.
Non au déclassement , le 27 novembre 2023 à 23h40;Non au déclassement de cette espèce essentielle au maintien de la biodiversité et du fonctionnement NATUREL des écosystèmes
L’importance du loup dans l’équilibre de la biodiversité , le 27 novembre 2023 à 23h41;Les tirs de loups sont contre-productifs, ils déstabilisent un équilibre fragile. Les Loups sont des prédateurs utiles dans la prédation pour réguler les ongulés chevreuils, sangliers etc… a la condition qu’ils puissent le faire en meute ou chaque loup a son rôle.
Avis défavorable , le 27 novembre 2023 à 23h43;Le loup doit conserver son statut d’espèce strictement protégée. Arrêtons d’aller à l’encontre de la nature !!!
Avis défavorable, le 28 novembre 2023 à 00h00;Regardons vers l’Italie, l’Espagne et la Suisse ! Ces pays vivent très bien la cohabitation du loup avec les élevages. Des mesures de bon sens. Les meutes doivent être stabilisées, ainsi elles n’offrent pas de risque de dispersion avec des individus isolés qui peuvent causer des problèmes. Le loup est à la tête de la pyramide des espèces et régule ainsi ses proies, permettant un bon équilibre de la nature. Son retour est même la preuve naturelle de l’harmonie de la nature. La France, si elle persiste à aggraver les tirs et une régulation absurde de canis lupus, aggravera un problème qui n’existe pas. Laissons la nature vivre.
Contre la nouvelle loi, le 28 novembre 2023 à 00h11;Les loups sont essentiels à la biodiversité. D’autres pays vivent correctement en cohabitation avec les meutes pourquoi pas nous ?
Avis défavorable , le 28 novembre 2023 à 00h16;C’est l’homme qui a envahi les montagnes, c’est à l’homme de s’adapter au loup et pas le contraire. D’autres pays le font très bien. C’est essentiel pour notre planète et le respect de la biodiversite
Avis defavorable, le 28 novembre 2023 à 00h39;Les loups sont indispensable a l’equilibre de la biodiversité, il doit garder son statut d’espece sauvage protegee des tirs, il y a de nombreux pays dans lesquels la cohabitation existe sans problemes.
Avis très défavorable, le 28 novembre 2023 à 01h43;Assez qu’une minorité d’irresponsables corrompus impose sa loi dans ce pays de dictature douce à tous les niveaux, au mépris du statut vital Européen d’espèce protégée attribué au Loup, mais aussi aux autres grands prédateurs que sont l’Ours et le Lynx, tous absolument essentiels à l’équilibre de la Biodiversité. Ce gouvernement et ce Président dictatoriaux bafouent la démocratie depuis trop longtemps, et ne sont plus respectés que par une minorité esclave et aveugle, et le Loup n’a pas à être une victime de plus de leur incompétence et ignorance, qui plus est avec le mépris total des avis éclairés des hauts responsables naturalistes compétents, eux !… C’est juste lamentable et écœurant de médiocrité d’État !
Avis défavorable, le 28 novembre 2023 à 09h00;Abaisser le statut de protection du loup est une fausse bonne idée. La population actuelle, bien qu’un phénomène de dispersion s’observe, est bien loin des 500 couples reproducteurs (phénomène de meutes et de couples dominants) considérés comme une norme minimale pour la viabilité d’une espèce. Le plan loup n’a contenté ni les éleveurs pastoraux, ni les défenseurs de l’espèce. Abaisser le statut de protection du loup est aberrant dans l’état actuel des choses. Les moyens doivent être mis sur l’accompagnement aux éleveurs. Lorsque la population de loups aura atteint un seuil optimal, ils se disperseront et leur capacité de réponse aux pressions de leur environnement (taux de reproduction élevé) s’estompera. La France est un pays à fort contexte agricole : les espaces de forte naturalisé comme les milieux forestiers et montagnards doivent être protégés à la hauteur de leur écosystème riche : le loup en est une partie intégrante. Prenons exemple sur nos voisins européens qui acceptent bien mieux que nous de vivre avec cette espèce, que nous savions autrefois côtoyer en bonne intelligence.
Contre le PNA sur le loup, le 28 novembre 2023 à 09h02;Le loup vient de revenir naturellement dans nos massifs et le fait de vouloir réguler l’espèce est une mauvaise idée, le loup permettrait de réguler les sangliers qui posent problème aux cultures, ils faut mieux mettre au point des moyens de protéger le bétail plutôt que songer à une solution trop radicale. Dans d’autre pays le loup est présent et la cohabitation se passe bien. En Roumanie, les loups sont très présents et le système de protection des troupeaux, adapté en conséquence, est efficace
Oui au plan loup, le 28 novembre 2023 à 09h18;Totalement favorable au plan national d’actions. Il est temps d’ouvrir les yeux sur les dégâts causés par le loup
Non au Plan Loup, le 28 novembre 2023 à 09h20;Je m’oppose fermement au plan loup qui est une aberration pour la biodiversité
Non a ce plan , le 28 novembre 2023 à 09h25;Non a ce plan, le loup s autorégule, le vivant se gère lui-même
Non à ce projet , le 28 novembre 2023 à 09h27;Non au Plan Loup, le 28 novembre 2023 à 09h20 Je m’oppose fermement au plan loup qui est une aberration pour la biodiversité
AVIS trés defavorable , le 28 novembre 2023 à 09h34;AVIS trés defavorable le 28.11.2023. Chaque être vivant a sa place sur la planète et les humains n’ont aucun droit de décider qui mérite de vivrei et qui non. Il y a beaucoup de solutions pour encourager et cultiver la coexistance. C’est le seul chemin à suivre si nous voulons préserver la biodiversité et la richesse de cette planète.
AVIS DÉFAVORABLE , le 28 novembre 2023 à 09h35;Comment peut-on à l’heure de la 6e extinction de masse ,de l’effondrement de la biodiversité ,envisager à nouveau de faire preuve d’ingérence dans la mise en place d’une chaîne alimentaire pérenne. Le loup ,on le sait maintenant depuis des décennies et partout dans le monde, est en maillon indispensable d’un bon équilibre des espèces et qu’à chaque fois qu’il a été éradiqué ou qu’on a essayé de diminuer son nombre, il a fallu faire face à l’explosion des dégâts occasionnés par les ongulés notamment. De nombreux pays ne régulent plus leur population et prennent plutôt des mesures en faveur de la protection des troupeaux qui est très efficace et qui protège en plus des chiens errants qui sont le plus souvent responsables des dégâts. Ce serait impensable de faire ce retour en arrière quand on voit qu’au plus au niveau de l’État la préservation de la biodiversité est soi-disant la priorité !
Non à l’abattage des loups, le 28 novembre 2023 à 11h22;Tout à fait défavorable à l’abattage des loups, mettons en place RÉELLEMENT les mesures de protection des troupeaux et préservons la nature
non à l’abattage des loups, le 28 novembre 2023 à 11h24;Arrêtez le massacre !
Projet plan national loup, le 28 novembre 2023 à 11h37;Le loup est un animal qui n’a pas sa place chez nous les berger ne doivent pas subir  Les dommages sur leur troupeau il est aberrant de dépenser l’argent public pour soutenir Cet animal  malfaisant. Faites payer les associations qui les défendent !
Avis on ne peut plus défavorable, le 28 novembre 2023 à 11h38;Nous ne sommes qu’une espèce parmi tant d’autres. Il faut cesser de croire qu’on peut faire valoir indéfiniment un pseudo statut de numéro 1 de la chaîne alimentaire. Ces temps, la nature (via la météo notamment) sait nous remettre un peu à la place qui devrait rester la nôtre : celle d’êtres on ne peut plus fragiles qui se devraient de respecter ceux respectant davantage leurs biotopes. Et les loups en sont une preuve vivante…
Anti-loup, le 28 novembre 2023 à 11h46;Bonjour, laissez le Loup tranquille !
DEFAVORABLE, le 29 novembre 2023 à 13h54;Dans un contexte d’extinction de masse des espèces, ce projet visant à simplifier les conditions de destruction de cette espèce protégée ne devrait pas voir le jour.
NON AU PROJET de PLAN NATIONAL d’ ACTIONS 2024/2029 sur le LOUP et les ACTIVITES d’ELEVAGE, le 29 novembre 2023 à 13h54;Dans tous les pays d’Europe les Populations admettent la présence du loup ! Pourquoi la FRANCE ,à chaque fois que l’on aborde ce sujet sur le loup et d’autres prédateurs , est immédiatement contre .  Les chasseurs peut-être , arrivent à faire entendre leur voix  Comme les éleveurs sont presque tous chasseurs ……. Ils sont , parait-il , 1 million  ces chasseurs, ça n’est rien  à côté de la population entière de la France . J’ai vu dernièrement à la Télé un documentaire sur le loup en Italie , je pense que Monsieur Macron devrait le voir . Ca le ferait réflèchir .
Avis défavorable à ce PNA ., le 29 novembre 2023 à 13h55;"Comme le CNPN qui s’est prononcé à la majorité contre ce PNA  avec les observations suivantes : ""Le CNPN s’étonne une fois de plus d’être consulté sur un document non finalisé, qui ne comporte  aucun objectif général ni d’enjeux en termes de conservation du Loup, aucune analyse critique des  activités d’élevage ni des raisons de leurs réelles difficultés autres que la présence du Loup, ne  comporte pas de fiches actions avec indicateurs, évaluation financière, etc…, et, trop souvent, des  descriptions très générales.""  Je suis contre ce nouveau PNA 2023/2029. Quand ces politiciens, ces hauts fonctionnaires vont-ils enfin comprendre que nous faisons partis de la nature et qu’il faut préserver la biodiversité en préservant le loup et ne pas répondre aux lobbies anti loup !"
Non au PNA, le 29 novembre 2023 à 13h55;La biodiversité doit être protégée.
Laissez les loups tranquilles ! Je suis contre ce plan, le 29 novembre 2023 à 13h55;C’est difficile pour l’homme de cohabiter avec une espèce dérangeante, pourtant les loups sont protégés et ont droit à leur place au soleil. Ils sont indispensable pour établir un équilibre naturel. Apprenez donc à vivre avec et pas contre comme ils arrivent à le faire en Espagne et en Italie par exemple. C’ est possible, il suffit de le vouloir et de chercher les solutions.
Pour que le loup fasse parti à nouveau de la biodiversité, le 29 novembre 2023 à 13h56;Merci de bien vouloir svp laisser cet animal sauvage faire à nouveau partie de notre biodiversité déjà bien éprouvée. Ave tous mes remerciements anticipés…
Défavorable au plan, le 29 novembre 2023 à 13h57;Encore 1 fois, nous les français ne savons pas tirer profit des expériences des autres ! Le loup est un maillon de la chaîne du vivant au même titre que l’humain. Privilégier la protection statique, avec des clôtures fixes pour la nuit, et des acteurs de la dissuasion comme les chiens, les mules etc… cf Yellowstone, Italie…
avis défavorable , le 29 novembre 2023 à 13h57;La France a enfin la chance de voir le retour des loups. Pourquoi serions nous un pays incapable de vivre avec le loup alors que d’autres pays européens tels l’Italie, le Portugal cohabitent ? Il y a un changement de mentalités à encourager chez les éleveurs français qui sont tout aussi capables d’évoluer que les éleveurs des autres pays européens
Avis défavorable, le 29 novembre 2023 à 13h59;Non à l’abattage des loups, régulateurs de biodiversité, laquelle biodiversité, dont nous faisons partie, est déjà bien mal menée.
Non au PNA loup, le 29 novembre 2023 à 13h59;Des techniques de cohabitations existent et ont montré leur efficacité dans différents pays. Ces animaux sont indispensables à l’équilibre de la biodiversité. Ce n’est pas admissible de chercher des dérogations. Le loup a sa place chez nous. Nous savons cohabiter si nous le voulons, alors apprenons à partager l’espace avec la faune sauvage si utile à la biodiversité. Au lieu d’utilisé de l’énergie à détruire, mettons là plutôt pour trouver des moyens de cohabitation.
Projet de plan national d’actions 2024-2029 sur le loup et les activités d’elevage., le 29 novembre 2023 à 13h59;Je suis entièrement contre. Laissons enfin vivre les espèces sauvages. N’oublions pas que L’HOMME est le grand prédateur sur la planète.
chaque et toutes les espèce participe à l’équilibre naturel, le 29 novembre 2023 à 14h01;"Pourquoi considérer des espèces ""nuisibles"" alors qu’elles se régulent d’elle-même en fonction de la nourriture disponible sur leur territoire.  On extermine les renards et maintenant les agriculteurs se plaignent d’une surpopulation de rongeurs dans les champs. Eh bien, dans quelques années sans le loup, il y aura surpopulation d’ongulés qui empêcheront la régénération des forêts, l’un des puits principal de carbone. On ne doit pas vivre contre le loup mais avec. C’est une espèce vivante au même titre que … l’être humain. Au fait, regarder la gestion de la population de ragondin : plus en en piégeait, plus les portées étaient nombreuses. Lorsqu’on arrête la piégeage, les portées sont plus rares et/ou moins nombreuses et nous ne sommes pas envahis dans nos jardins. Si le Terre n’est pas le centre du système solaire (comme on l’a cru longtemps), l’être humaine n’est pas le centre du vivant mais seulement l’une de ses composantes. Donc pas nécessaire d’éliminer un certain quota de loups tous les ans."
Avis défavorable , le 29 novembre 2023 à 14h01;Prenons plutôt exemple sur les pays voisins, Italie et Espagne, qui vivent AVEC le loup… Je pense que l’homme doit s’adapterau lieu de vouloir tout contrôler
Contre le PNA 2024, le 29 novembre 2023 à 14h02;Je suis contre ce nouveau PNA dont l’objectif n’est absolument pas la préservation du loup, qui est une espèce protégée. Le loup a sa place dans l’écosystème puisqu’il régule les herbivores que les chasseurs n’arrivent pas eux-même à réguler (pire ils les nourrissent…). Je suis pour l’élevage et un meilleur accompagnement des éleveurs pour cohabiter avec le loup (plus de moyens financiers, matériels…), que l’Etat prenne ses responsabilités et s’inspire de pays où cela fonctionne parfaitement (Italie et Espagne notamment)
Il n’y aura pas d’humains sans loups, le 29 novembre 2023 à 14h02;"Pendant des siècles il a été plus simple d’exterminer les loups plutôt que d’apprendre à vivre avec. ""La peur du loup"" (pourtant un animal craintif) nous a été transmise jusque dans notre ADN parce qu’il était plus simple de faire appel à la force que d’appendre à vivre avec les contraintes qu’il nous pose. Toute ""régulation de l’espèce"" n’est qu’une poursuite de cela, avec des mots plus sobres.  Pourtant l’enjeu majeur pour notre espèce Homos Sapiens (sic) sera de nous réadapter à la Nature pour éviter qu’elle ne nous devienne fatalement hostile, jusqu’à nous faire disparaitre.  Apprendre à vivre avec le loup, sans ""vengeance"" ni ""prélèvement"" ni ""régulation"" est un des défis critiques et symptomatique à la fois de la situation dans laquelle nous sommes, nous les humains.  Il n’y aura pas d’humains sans loups."
NON au nouveau Plan National d’Action (PNA) sur le loup, le 29 novembre 2023 à 14h03;Ce nouveau plan ne prend pas en compte les avis scientifiques et les travaux du Groupe National Loup. Il est exclusivement à charge contre les loups et à décharge pour l’élevage.  Regardez ce qui se passe chez nos voisins italiens ou allemands où la cohabitation avec le loup est possible. Alors pourquoi pas en France ?
PNA 2024-2029 sur le loup et les activités d’élevage : Je suis contre dans sa forme actuelle., le 29 novembre 2023 à 14h04;Je suis contre ce nouveau PNA 2023/2029. Il faut préserver la biodiversité en préservant le loup et ne pas accepter les propositions tendancieuses des lobbies anti loup ! Le plan précédent n’a pas fait l’objet à mon sens d’une évaluation de la pertinence ni de l’efficience des actions engagées afin d’en tirer des enseignements pour élaborer le nouveau PNA. Alors que le nouveau PNA devrait conduire au bon état de conservation de l’espèce loup en France en permettant le soutien du pastoralisme, seuls sont invoqués les  impacts négatifs de la présence du loup et non des bénéfices écologiques qu’elle apporte. Je suis d’accord avec la LPO qui demande le retour à un texte plus équilibré, prenant mieux en compte les avis scientifiques et les travaux du Groupe National Loup.
Pour la protection du loup, le 29 novembre 2023 à 14h04;Non au projet PAN visant à éradiquer le loup ! L’être humain n’est pas supérieur aux autres animaux. Les loups ont leur place au même titre que les humains. Le loup était présent bien avant nous et l’homme a toujours su cohabiter avec lui, y compris en France avant son extermination par l’homme ! Il est indispensable de s’appuyer sur des études scientifiques indépendantes et non de céder aux pressions des lobbyistes anti biodiversité Cessons d’accuser le loup de tous les maux ! De nombreux éleveurs vivent en parfaite intelligence avec le loup sans prédation significative, en respectant un certain nombre de règles élémentaires ! Preuve que la cohabitation est tout à fait possible de nos jours. La présence du loup contribue à limiter le broutage excessif et le pâturage intensif des herbivores. Ce qui favorise la croissance des arbres et la préservation des zones boisées qui sont des niches écologiques pour d’autres espèces animales et végétales. Cela favorise donc la biodiversité. La présence des loups est essentielle revêt une importance cruciale pour la préservation de la biodiversité et l’intégrité des écosystèmes à travers le monde.  La biodiversité doit être respectée. Il s’agit de notre avenir à tous. Claudine V.
Cohabitons avec la faune sauvage , le 29 novembre 2023 à 14h04;À l’heure où 97% des mammifères sur la planète sont des êtres humains ou des animaux domestiques, il est temps de ré-équilibrer le vivant et de porter attention à la biodiversité. Il nous faut trouver les voies de cohabiter plutôt que de chercher à détruire tout ce qui pose question. Évidemment, il faut soutenir les éleveurs et protéger le bétail, dont le cheptel est certainement trop important par ailleurs. Mais, en 2023, il faut surtout protéger et préserver avec force toute forme de vie sauvage. Ce plan est tout sauf sérieux : pas de bilan des précédents, pas de recherche de solution de cohabitation comme ça à été développé en Italie et toujours cette « peur » qui pousse à vouloir tuer et à envisager de sortir des textes internationaux quant au statut du loup. À l’heure de l’annonce d’un plan pour la biodiversité et de la planification écologique, il y a là une contradiction majeure. Trouvons une autre voie, qui respecte à tout prix la vie sauvage tout en protégeant les éleveurs et leur bétail, mais sans tuer de loup. C’est possible.
PNA loups, le 29 novembre 2023 à 14h04;Avis défavorable nous devons nous inspirer des pays voisins qui savent cohabiter avec les loups
protéger le loup, le 29 novembre 2023 à 13h33;La présence du loup est importante pour l’écosystème, elle est légitime et indispensable. Je dis non à la moindre dérogation à sa protection, il faut apprendre à vivre avec lui et s’adapter. Et non, je ne suis pas une citadine déconnectée de la réalité des zones rurales, j’habite en pleine nature depuis très longtemps, je connais les enjeux de cohabitation avec le monde sauvage.
Projet NPA, le 29 novembre 2023 à 13h33;Nous disons NON , mon mari et moi-même  à  ce projet , le NPA : les loups ont leur place sur cette terre, nous devons conserver  l’espèce  et réfléchir aux solutions ,les éleveurs doivent surveiller leurs troupeaux,former également  des bergers pour le gardiennage de troupeaux. Le 29 novembre  2023 à  13h30 .
Je suis contre ce plan, le 29 novembre 2023 à 13h33;L’humain, tout comme le loup ont leur place sur notre territoire. Nous devons arrêter de nous comporter comme des prédateurs qui avons le droit de mort sur tout ce qui nous entoure. Nous ne sommes pas propriétaire de cette terre,  nous l’empruntons aux générations futures.
Oui à la vie sauvage, le 29 novembre 2023 à 13h33;"A l’heure d’une nouvelle extinction de masse, reprenons notre juste place dans le Vivant ; nous avons détruit suffisamment d’espèces pour ne pas y rajouter la destruction volontaire d’une espèce prédatrice, qui plus est essentielle à notre écosystème, sur la base d’un PNA dont les effets du précédent n’ont pas été évalués ! Il existe des possibilités de faire cohabiter les éleveurs et le loup, comme en témoignent certains d’entre eux."
Non à ce PNA, le 29 novembre 2023 à 13h33;Non à une régulation des loups ne tenant pas compte des recommandations des scientifiques et de la place du loup dans l’équilibre naturel et la biodiversité. Il faut d’abord imposer une protection des troupeaux - avec des aides appropriées pour les éleveurs bien sûr.
Laissons la nature faire, le 29 novembre 2023 à 13h33;NON à ce nouveau plan De nombreux pays cohabitent avec le loup, en France nous pouvons aussi y arriver. Des solutions existent pour les éleveurs certes plus contraignantes mais pour garder la biodiversité et permettre à la faune de s’autoréguler nous avons besoin de prédateurs dont le loup. Non à ce nouveau plan national d’actions 2024-2029 sur le loup et les activités d’élevage.
PNA non merci, le 29 novembre 2023 à 13h35;Retrouvons des Patou et des bergers présents pour leurs moutons, les méthodes d’élevage se sont trop éloignées des besoins réels des bêtes. les loups sont importants pour le retour d’un équilibre de notre biodiversité, re-apprenons a cohabiter
Le fin ne justifie pas le moyen , le 29 novembre 2023 à 13h35;Vous voulez une équilibre et une résilience de la part des éleveurs , mais vous n’avez pas évalué les mesures du PNA précédent . Tuer plus de loup ne sera pas une mesure efficace , vous détruisez  tous les efforts fournis en mettant à dos les associations naturalistes qui ont abandonné  le plan vu l’avenir catastrophique. J’été  volontaire pour concilier les deux partis concernés avec FERUS , en étaient formé en Facteur Humain et droit animalier . Il y a beaucoup d’idées reçus concernant le loup : plus d’information, d’accompagnement, moins de tirs envers cette espèce emblématique .
"Je m’oppose au nouveau PNA Loup 
, le 29 novembre 2023 à 13h35";Je m’en remets à l’avis des scientifiques et me prononce totalement contre ce projet de PNA Loup.
Pourquoi?, le 29 novembre 2023 à 13h37;Bonjour Je suis vraiment très déçue par ce projet qui n’essaie pas de trouver des solutions pour la cohabitation entre le loup et les humains. En fait nous favorisons l’humain alors que nous n’avons normalement aucun droit sur la nature. Pourquoi le coté économique est privilégié alors que le loup a autant de droit que l’humain a être là !! il y a sûrement des solutions a étudier et à développer. Dommage que la solution de facilité soit celle retenue. Pourquoi en Italie cela est différent? Merci
Non au PNA, le 29 novembre 2023 à 13h37;Ce PNA va totalement à l’encontre des préconisations du CNPN (il n’y a pas pire sourd…….) . Dans ce PNA il n’est fait mention que des impacts négatifs de la présence du loup et non des bénéfices écologiques qu’elle apporte.L’élevage par contre y est présenté uniquement sous un angle positif (Au passage : à quand une réflexion de fond sur ce modèle que l’on sais suicidaire ?) A quand un PNA prenant en compte les avis scientifiques et les travaux du Groupe National Loup? A quand une analyse sur les bénéfices apportés par la protection des troupeaux et l’efficacité supposée des tirs létaux (qui n’a pas été faite sur le précédent PNA) ? L’engagement de l’État en faveur de la modification du statut de protection du loup et son déclassement d’espèce strictement protégée (cf : Convention de Berne de 1979 et Directive Habitats de 1992) crée un précédent inacceptable dans un PNA, et ouvre une brèche inquiétante dans le domaine de la protection de la faune sauvage.
