sujet;texte
Projet d’arrêté  relatif à la méthode d’estimation de la population de loups, le 22 mars 2024 à 18h46;"Oui à cette méthode de comptage ; Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Loup, le 22 mars 2024 à 18h47;Il faut absolument reculer le loup et arrêter de dépenser les deniers publics pour la cause ecolo bobo Il est temps de dire la vérité sur les dégâts causés par le loup et combien ça coûte pour la population
Projet d’arrêté relatif à la méthode d’estimation de la population de loups et modifiant l’arrêté du 23 octobre 2020 fixant le nombre maximum de spécimens de loups (Canis lupus) dont la destruction pourra être autorisée chaque année, le 22 mars 2024 à 18h49;Je suis favorable à cet arrêté. Je pense qu’en y associant le monde cynégétique les résultats n’en seront que meilleurs.
Je suis pour un comptage fiable ou les agriculteurs et le monde cynégétique sont invités à cette consultation., le 22 mars 2024 à 19h00;"Tous les principaux intéressés  et les éleveurs touchés par ce prédateur ont leur mot à dire ….! Pour moi il s’agit avant tout de la vie ou la mort d’une profession que l’on ne respecte pas du tout…Laissez vivre le monde rural dans le respect S V P ; ; ;"
Estimation de la population des loups, le 22 mars 2024 à 19h41;"Avis favorable pour ce dispositif.     - Je souhaite une méthode de comptage fiable ;     - je demande que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.     - Je demande que les animalistes et les écologistes soient tenu à l’écart de  l’établissement de la méthode de comptage."
Favorable à cette amélioration du comptage, le 22 mars 2024 à 19h41;Ce changement de méthode me paraît une amélioration importante,  afin de suivre plus précisément et plus vite l’évolution des loups.. il me semble important aussi   d’associer les chasseurs et les éleveurs de montagne,  car ils peuvent apporter une aide précieuse dans ce domaine..
Suivi loup, le 22 mars 2024 à 19h54;Je souhaite une méthode de comptage fiable et surtout la participation du monde cynégétique, de par son expertise et sa connaissance des territoires.
avis favorable, le 22 mars 2024 à 20h02;Favorable à ce changement de méthode pour suivre plus précisément l’évolution des loups. Il me semble surtout important d’associer le monde cynégétique et agricole à cette initiative.
Favorable à ce projet, le 22 mars 2024 à 20h05;"<span class=""puce"">- Il est important d’avoir une méthode de comptage aussi fiable que possible afin de connaitre avec la meilleure précision le nombre d’individus <span class=""puce"">- Par ailleurs, il est indispensable que le monde cynégétique qui possède l’expertise et la connaissance des territoires soit totalement intégré dans le déploiement de cette nouvelle méthode de recensement."
comptge réel, le 22 mars 2024 à 20h19;Pdt de l’ANCP je pense que les chasseurs ont une trés bonne conaissance du terrain.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups, le 22 mars 2024 à 20h25;Projet d’arrêté relatif à la méthode d’estimation de la population de loups et modifiant l’arrêté du 23 octobre 2020 fixant le nombre maximum de spécimens de loups  je suis favorable a ce projet  pour une fiabilité des comptages qui ne doivent pas être réaliser que par les associations écologiste il faut que les associations cynégétiques  et associations d’éleveurs soit intégré  pour les comptage ce sont eux qui on la connaissance des territoires   Ce sont eux qui en subissent les problèmes et les dégâts et ce sont les mieux placé pour en parler
Projet d’arrêté relatif à la méthode d’estimation de la population de loups dont la destruction pourra être autorisée chaque année, le 22 mars 2024 à 20h26;Projet d’arrêté relatif à la méthode d’estimation de la population de loups et modifiant l’arrêté du 23 octobre 2020 fixant le nombre maximum de spécimens de loups je suis favorable a ce projet  pour une fiabilité des comptages qui ne doivent pas être réaliser que par les associations écologiste il faut que les associations cynégétiques  et associations d’éleveurs soit intégré  pour les comptage ce sont eux qui on la connaissance des territoires   Ce sont eux qui en subissent les problèmes et les dégâts et ce sont les mieux placé pour en parler
comptage des loups en France :, le 22 mars 2024 à 21h20;"Je souhaite une méthode de comptage fiable ;     - Je demande à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage."
comptage du loup, le 23 mars 2024 à 16h25;Oui à la participation du monde cynégétique pour le comptage du loup
Comptage loup, le 23 mars 2024 à 16h32;Oui à la participation du monde cynégétique pour le comptage du loup.
LOUPS, le 23 mars 2024 à 16h33;POUR une méthode de comptage fiable : OUI     pour une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage : OUI
Consultation Loup, le 23 mars 2024 à 16h49;"Oui à une méthode de comptage plus fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
comptage des loups, le 23 mars 2024 à 16h49;OUI à la méthode la plus fiable OUI à la participation possible du monde cynégétique à ce comptage
Oui à une méthode de comptage fiable et à la participation du milieu cynégétique , le 23 mars 2024 à 16h54;Oui à une méthode de comptage fiable et à la participation du milieu cynégétique
Comptage des loups, le 23 mars 2024 à 16h54;"Oui je veux une méthode de comptage plus fiable ; Oui je veux une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Comptage du loup, le 23 mars 2024 à 16h55;Oui à une participation du monde de la chasse pour le comptage du loup, au même titre que le comptage des espèces chasubles. Notre compétence n’est plus à  prouver
Méthode estimation population des loups, le 23 mars 2024 à 16h56;Je suis favorable à une méthode de comptage fiable et la participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage
Estimation de la population des loups, le 23 mars 2024 à 17h19;Oui à une méthode de comptage fiable  Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Comptage loup consultation 21200, le 23 mars 2024 à 17h21;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage. Merci"
comptage des loups, le 23 mars 2024 à 17h24;"<span class=""puce"">- Oui à une méthode de comptage fiable ; <span class=""puce"">- Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Oui à une méthode de comptage fiable, le 23 mars 2024 à 17h25;Je suis favorable à une méthode de comptage fiable des populations de loup en France ainsi qu’à une éventuelle participation du mode cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Comptage loup, le 23 mars 2024 à 17h33;Je souhaite une méthode de comptage fiable et surtout la participation du monde cynégétique, de par son expertise et sa connaissance des territoires.
avis sur les méthodes d’estimation des loups, le 23 mars 2024 à 17h52;Je suis favorable  pour une méthode de comptage fiable  avec l’aide du monde cynégétique
Méthode de comptage des loups, le 23 mars 2024 à 17h57;Favorable à une méthode de comptage fiable  Favorable à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage
Comptage, le 23 mars 2024 à 17h58;Je suis favorable à une méthode de comptage fiable des populations de loup en France et aussi à une participation du monde cynégétique dans  cette nouvelle méthode de comptage.
Comptage des loups, le 23 mars 2024 à 17h58;"<span class=""puce"">- 	Oui à une méthode de comptage fiable ; <span class=""puce"">- 	Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
"loups
, le 23 mars 2024 à 18h01";"<span class=""puce"">- 	favorable à une méthode de comptage fiable et  à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Avis favorable pour cet arrêté, le 23 mars 2024 à 18h05;Oui à une méthode de comptage fiable et à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Pour un comptage plus précis et une meilleur régulation du loup, le 25 mars 2024 à 08h14;Je suis favorable à une meilleur estimation de la population loup souvent sous estimé mais il faudrait associer les associations environnementales dont les associations de chasse qui ont une connaissance du territoire
Favorable, le 25 mars 2024 à 08h16;Avis favorable pour la méthode de CMR
Régulation du loup, le 25 mars 2024 à 08h16;Je suis favorable à la régulation du loup après application d’une méthode fiable de comptage qui prend en compte la participation des acteurs de la nature comme les chasseurs qui connaissent bien les dégâts faits par ces prédateurs, leurs habitudes…
Consultation publique méthode comptage loups, le 25 mars 2024 à 08h21;Avis favorable avec méthode comptage fiable et que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups, le 25 mars 2024 à 08h21;Je suis favorable à la régulation du loup après application d’une méthode fiable de comptage qui prend en compte les observations des acteurs de la nature comme les organisation de chasseurs volontaires .
METHODE D ESTIMATION DE LA POPULATION DE LOUPS, le 25 mars 2024 à 08h30;Participation du monde cynégétique et agricole à la méthode de comptage
avis favorable pour la méthode CMR, le 25 mars 2024 à 08h43;Les méthodes utilisant la CMR sont des méthodes de comptage fiables, les modèles CMR reposant sur des méthodes statistiques robustes et éprouvées Les acteurs cynégétiques peuvent en outre jouer un rôle utile dans le déploiement des suivis par CMR
Avis favorable, le 25 mars 2024 à 08h44;Evidemment POUR  une méthode de comptage fiable ! Egalement POUR la participation du monde cynégétique dans la mise en oeuvre de la  nouvelle méthode de comptage.
Avis favorable, le 25 mars 2024 à 08h49;Il est important de connaître l’état de la population lupine en France. Le loup fait partie intégrante de la biodiversité Française pour autant il est temps de le déprotéger afin que la pression de ce super prédateur ne grève pas le peuplement d’autres espèces et je mets un accent particulier là où l’élevage est en plein air. Le but d’un éleveur n’est pas de nourrir le loup.
méthode d’estimation de la population de loups , le 25 mars 2024 à 08h54;Favorable à une méthode de comptage fiable. Favorable à la participation du monde cynégétique dans la mise en œuvre de la nouvelle méthode de comptage.
Estimation du nombre de loups, le 25 mars 2024 à 08h56;Je suis favorable à une estimation liée à une méthode fiable incluant le monde de la chasse. Merci d’avance.
PITAVAL André, le 25 mars 2024 à 08h58;Je suis favorable à la méthode de comptage C.M.R.
Avis favorable !, le 25 mars 2024 à 09h11;Oui à une méthode de comptage fiable liée aux interventions de l’ensemble des parties responsables .
avis favorable, le 25 mars 2024 à 09h14;Oui à une méthode de comptage fiable. Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Méthode d’estimation de la population des loups, le 25 mars 2024 à 09h16;Oui, je suis favorable à cet arrêté. Pour améliorer la fiabilité, il serait judicieux d’associer le monde cynégétique qui connaît les territoires !
PROJET D’ARRETE MODIFICATIF METHODE D’ESTIMATION DES POPULATIONS DE LOUPS, le 25 mars 2024 à 09h20;Je suis FAVORABLE pour la mise en place d’une méthode  de comptage fiable de population de loups et la PARTICIPATION impérative du monde cynégétique.
Méthode de comptage des Loups., le 25 mars 2024 à 09h26;"Oui à une méthode de comptage fiable ; Oui à une participation impérative du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Méthode de comptage des loups, le 25 mars 2024 à 09h33;Je suis favorable à une estimation par une méthode fiable incluant le monde de la chasse.
Comptage des loups, le 25 mars 2024 à 09h56;Oui à une méthode fiable de comptage des loups incluant le monde de la chasse qui est en mesure de fournir des effectifs présents sur le terrain et des éléments relatifs aux dégâts sur la faune sauvage dont les effectifs sont souvent en baisse. La prédation sur le pastoralisme amène les bergers à renoncer à certaines estives et à une dégradation des espaces (fermeture des milieux, entretien des sentiers,etc) Il est scandaleux que certaines estives subissent plus de 100 attaques sur une saison pour protéger ce qui devrait être reconnu comme ESOD. Quel est le montant des indemnisations depuis le retour du loup : des centaines de millions d’euros !!!
Sans titre, le 25 mars 2024 à 10h20;"je souhaite une méthode de comptage fiable ; et je souhaite à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage."
Sans titre, le 26 mars 2024 à 16h55;"<span class=""puce"">- je souhaite une méthode de comptage fiable ; <span class=""puce"">- je demande à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage."
Arrete sur la méthode de comptage des loups, le 26 mars 2024 à 16h55;Je suis favorable à  une methode de comptage fiable en associant notamment les chasseurs de part leur présence sur le terrain et leur connaissance de la gestion de la faune sauvage
COMPTAGE LOUP, le 26 mars 2024 à 17h05;Oui à une participation des chasseurs au comptage. Trouvons une méthode pour le comptage qui soit fiable et non empirique. Défendons nos éleveurs contre la prédation d’un animal que nos aieux ont eu tant de difficulté à éradiquer.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups, le 26 mars 2024 à 17h18;Je suis favorable à cet arrêté mais je souhaite une méthode de comptage fiable et je souhaite également à ce que le monde cynégétique, de par son expérience et sa grande connaissance des territoires, soit absolument intégré dans le déploiement de cette nouvelle méthode de comptage.
Avis perso, le 26 mars 2024 à 18h05;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette méthode"
AVIS, le 26 mars 2024 à 18h23;Oui à une méthode  de comptage fiable . Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
je suis favorable à cet arrêté, le 26 mars 2024 à 18h24;oui à une méthode de comptage fiable oui à une possible participation au comptage
oui, le 26 mars 2024 à 18h41;oui a un comptage avec les chasseurs
Favorable , le 26 mars 2024 à 18h43;Favorable au projet d’arrêté.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups et modifiant  l’arrêté du 23 octobre 2020 fixant le nombre maximum de spécimens de loups ( canis lupus) dont la destruction pourra être autorisée chaque année, le 26 mars 2024 à 19h01;oui à une méthode de comptage fiable oui à une possible participation du monde cynégétique de cette méthode Plus il y aura de compteurs plus les chiffes seront proche de la vérité
Participation à la consultation., le 26 mars 2024 à 19h21;Les Hurlements provoqués avec du personnel qualifié mobilisé sur chaque commune du département est le meilleur moyen de connaitre la population vulpine. Constituer des groupes de 4 à 5 personnes en faisant appel aux chasseurs, aux éleveurs, aux Elus et à des fonctionnaires (DDT, OFB………) dans chaque groupe démontrera la réalité de la présence du loup. Appel à la presse également qui relatera ce comptage mais je doute que la vérité fasse peur à nos écologistes. Cette façon de procéder permet un chiffrage immédiat.
oui a un comptage plus fiable, le 26 mars 2024 à 19h35;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Projet d’arrêté à la méthode d’estimation de la population de loups, le 26 mars 2024 à 19h43;1 Je suis pour une méthode de comptage fiable du loup  2 je suis favorable à une possible participation du monde cynégetique au déploiement de cette nouvelle méthode de comptage
comptages des loups, le 26 mars 2024 à 19h52;oui a un comptage fiable des loups oui a une méthode fiable et réaliste de la présence du loup en associant les fédérations de chasses les chambres d’agriculture ,les éleveurs
CONTRE CE PROJET !, le 26 mars 2024 à 20h00;"La nature se régule d’elle-même.  La nature se compose de prédateurs et de proies, ce qui est donc le cas du loup, prédateur qui se nourrit d’ongulés et cervidés, ses proies. Or, ces grands herbivores sont de plus en plus chassés, voire braconnés, par les chasseurs. Le loup, n’ayant plus suffisamment de quoi se nourrir, s’attaquera aux troupeaux mal protégés pour certains. Les chasseurs ont par ailleurs déclaré que les loups "" voleraient"" leur gibier ! Le sauvage nous appartiendrait-il? La cohabitation est possible, on peut la constater dans d’autres pays européens. Le loup fait parfois les frais d’attaques de chiens errants, mais ça, on n’en parle jamais ! Comment se fait-il que certains agriculteurs, éleveurs arrivent à cohabiter avec le prédateur après avoir décidé de tout mettre en oeuvre pour se prémunir de nouvelles attaques? et ça a fonctionné ! Qu’on m’explique ! Le loup doit rester une espèce strictement protégée sinon l’avenir de l’espèce sera en péril."
Favorable à la méthode CMR, le 26 mars 2024 à 20h01;Tout à fait favorable à cette méthode de comptage plus fiable. L’appui sur les acteurs de terrain (agriculteurs, éleveurs, chasseurs, …) serait également à prendre en compte pour des estimations beaucoup plus fiables
Martiniani gerard, le 26 mars 2024 à 20h03;Oui à un comptage plus fiable Oui à la participation des chasseurs lors des comptages
oui à un comptage plus fiable, le 26 mars 2024 à 20h07;avec la participation des agriculteurs et des chasseurs
Avis favorable, le 26 mars 2024 à 20h21;Je suis pour la mise en place d’une méthode de comptage fiable avec la participation du monde cynégétique.
Fichez la paix au loup , le 26 mars 2024 à 20h34;La convention de Berne protège le loup. Sa population est stabilisée. Cessons de vouloir réglementer par des tirs létaux cette espèce dont la présence prédatrice permet de réguler d’autres espèces autrement problématiques comme les chevreuils et cervidés qui causent des dégâts forestiers importants ou des sangliers que la chasse ne permet pas de contenir. Fichez la paix au loup ! Adaptons le pastoralisme à sa présence cela ouvrira des emplois de bergers. Je suis contre ce projet d’arrêté.
Comptages et mesures, le 25 mars 2024 à 10h29;Ici , la question simple de la méthode de comptage est traitée. Je suis pour une méthode fiable, mais cela ne sert à rien si les conséquences de la présence ne sont pas traitées. C’est à dire la destruction des autres espèces par les loups.                   La destruction des animaux (sauvages ou non) présents sur un territoire est une mesure fiable. Prédateur majeur, le loup régule les autres animaux pour se nourrir. Ce n’est donc pas une question de comptage qui importe , mais une capacité de territoire à supporter un prédateur majeur. Cette position de ne considérer que le comptage peut nous amener à alimenter les loups par une nourriture fournie par l’homme afin qu’ils ne mangent pas des animaux vivants.
Comptage des loups, le 25 mars 2024 à 10h34;"Oui à une méthode de comptage fiable ;     Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Méthode de comptage des loups, le 25 mars 2024 à 10h36;OUI, favorable à la méthode de comptage des Loups a partir du moment ou le monde cynégétique participe à sa réalisation et peu participer aux discussion en apportant ses connaissances terrain.
Comptage des loups, le 25 mars 2024 à 10h44;Oui à une méthode de comptage fiable  Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Comptage population Loups, le 25 mars 2024 à 11h00;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Oui à un comptage fiable du loup, le 25 mars 2024 à 11h09;Je suis pour un comptage fiable des populations de loup, qui serait réalisé par l’ensemble des acteurs de terrains connaissant la problématique, dont les fédérations des chasseurs font intégralement partie.
Oui à de vrais comptages et avec les chasseurs, le 25 mars 2024 à 11h10;"Favorable à une méthode de comptage fiable ; Favorable à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Méthode de comptage de loups, le 25 mars 2024 à 11h15;Je suis pour une méthode de comptage fiable et la possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage. ­
"Participation à la consultation
Projet d’arrêté relatif à la méthode d’estimation de la population de loups et modifiant l’arrêté du 23 octobre 2020 fixant le nombre maximum de spécimens de loups (Canis lupus) dont la destruction pourra être autorisée chaque année
, le 25 mars 2024 à 11h16";Je suis favorable à une méthode de comptage fiable des loups avec la participation des chasseurs et des agriculteurs. Le but serait une régulation appropriée pour éviter la disparition d’espèces sauvages et le massacre de milliers d’animaux d’élevage. Les indemnisations financières en seraient diminuées. Cela coute cher le loup à l’heure où nous parle d’augmentations d’impôt !
Projet d’arrêté à la méthode d’estimation des loups, le 25 mars 2024 à 11h25;Favorable à une méthode de comptage fiable  Favorable à une  participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Méthode de comptage du loup ., le 25 mars 2024 à 11h26;Favorable à une méthode de comptage fiable des populations de loups , avec la participation du monde de la chasse .
Avis favorable, le 25 mars 2024 à 11h36;Je suis favorable à cette méthode de comptage fiable des populations de loups qui a été retenue avec la participation du monde de la chasse .
Comptage LOUP, le 25 mars 2024 à 11h44;Je suis favorable à une méthode de comptage fiable, en incluant le monde de la chasse pour un comptage plus réaliste des populations.
Favorable, le 25 mars 2024 à 11h56;Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Favorable , le 25 mars 2024 à 11h58;Oui à une méthode de comptage fiable et Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
"Oui à une méthode de comptage fiable 
Oui à une possible participation du monde cynégétique , le 25 mars 2024 à 12h04";"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
AVIS FAVORABLE, le 25 mars 2024 à 12h21;"Oui à une méthode de comptage fiable ;     Oui à une possible participation du monde cynégétique dans le déploiement de cette  méthode de comptage."
Favorable, le 25 mars 2024 à 12h24;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette méthode de comptage."
"Projet d’arrete relatif a la methode d’estimation de la population de loups
Et modifiant l’arrete du 23 octobre 2020., le 25 mars 2024 à 12h48";"Oui pour une methode de comptage fiable ; avec la participation du monde Cynegetique dans le deploiement de cette methode."
Favorable à la methode, le 25 mars 2024 à 12h55;"Oui à une méthode de comptage plus fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Projet d’arrêté relatif à la méthode d’estimation de la population de loups et modifiant l’arrêté du 23 octobre 2020 fixant le nombre maximum de spécimens de loups (Canis lupus) dont la destruction pourra être autorisée chaque année, le 24 mars 2024 à 18h05;oui à la participation du monde cynégétique.
Contexte du changement de méthode de suivi de la population lupine, le 24 mars 2024 à 18h14;"Oui à une méthode de comptage fiable ; Avec la participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
comptage loup, le 24 mars 2024 à 18h17;Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.la ruralité est plus à même sur le terrain
Avis favorable, le 24 mars 2024 à 18h23;Je souhaite une méthode de comptage fiable. Je demande à ce que le monde cynégétique , de part son expertise et sa connaissance des territoires , soit intégré dans le déploiement de cette nouvelle méthode de comptage.
réponse, le 24 mars 2024 à 18h34;Oui à une méthode de comptage fiable qui permettra d’estimer au plus juste la population de loup sur le territoire français.
Comptage Canis Lupus, le 24 mars 2024 à 18h36;Avis FAVORABLE sur l’ensemble des points
comptage des loups, le 24 mars 2024 à 18h42;La présence de loups désormais aux abords des villes devient préoccupante. Dans l’arrière pays il est courant de voir les loups surtout en période d’hiver .  De nombreuses photos témoignent de ces rencontres et démontrent une population croissante. Du gibier ainsi que des animaux domestiques sont régulièrement attaqués. Dans ce contexte il devient urgent et indispensable d’utiliser des moyens fiables de comptage et de s’adosser à des acteurs avertis et vivant sur les territoires occupés par ces animaux.
Avis favorable, le 24 mars 2024 à 18h45;La méthode d’estimation actuel ne correspond pas à la réalité du terrain. Tous les acteurs qui évoluent réellement dans l’environnement doivent y être associés sans exception.
Avis favorable, le 24 mars 2024 à 18h47;Oui à une méthode de comptage fiable, et à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage. ­
Pour un comptage précis de la population lupine, le 24 mars 2024 à 18h56;Avis favorable, le 24 mars 2024 à 18h47 Oui à une méthode de comptage fiable, et à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
oui à un comptage sérieux et sans parti pris, le 24 mars 2024 à 19h07;les estimations actuelles du loup étant systématiquement sous-évaluées, un comptage national incluant tous les acteurs de terrain, forestiers, éleveurs, agriculteurs et chasseurs est à faire, avec objectivité.
Loups et animaux domestiques, le 24 mars 2024 à 19h10;La présence de loups désormais aux abords des villes devient préoccupante. Dans l’arrière pays il est courant de voir les loups surtout en période d’hiver . De nombreuses photos témoignent de ces rencontres et démontrent une population croissante. Du gibier ainsi que des animaux domestiques (beaucoup de chiens) sont régulièrement attaqués. Dans ce contexte il devient urgent et indispensable d’utiliser des moyens fiables de comptage et de s’adosser à des acteurs avertis et vivant sur les territoires occupés par ces animaux.
Oui à un comptage réaliste, le 24 mars 2024 à 19h13;Il faut absolument un comptage réaliste de la population des loups qui est pour l’instant largement sous-estimée. Le chiffre officiel donné chaque année ne correspond pas aux observations au quotidien dans le monde forestier rural et naturel.
Favorable , le 24 mars 2024 à 19h14;Oui pour une méthode fiable de comptage et la participation des chasseurs qui connaissent  parfaitement le terrain
Comptage loups, le 24 mars 2024 à 19h17;"Oui à un comptage le plus fiable possible avec tous les acteurs du monde rural, afin d’éviter une éventuelle explosion des populations. Un comptage n ;est jamais fiable à cent pour cent et les prélèvements doivent évoluer en fonction afin d’apaiser les éleveurs."
comptage du loup, le 24 mars 2024 à 19h18;Oui pour un comptage du loup avec un nombre évaluant au plus juste leur population.
Oui je suis favorable à un comptage fiable , le 24 mars 2024 à 19h22;Avec la participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage
Comptage du loup., le 24 mars 2024 à 19h30;Oui à une méthode de comptage fiable.
Comptage des loups, le 24 mars 2024 à 19h47;Oui à une méthode de comptage fiable, et à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
estimation population loups, le 24 mars 2024 à 19h58;je suis favorable à une méthode de comptage fiable et également à la participation du monde cynégétique dans cette démarche .
Méthode de comptage fiable, le 22 mars 2024 à 21h26;"<span class=""puce"">- je souhaite une méthode de comptage fiable ; <span class=""puce"">- je demande à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage."
Comptage de la population de loup., le 22 mars 2024 à 22h07;Oui à une méthode de comptage fiable et réel Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage.
Comptage loups, le 22 mars 2024 à 22h10;Favorable à la modification proposée, il est temps de passer à une méthode fiable de comptage, celle actuellement utilisée étant par trop aléatoire. Il est indispensable également d’associer les chasseurs et les éleveurs aux comptages, eu égard à leur parfaite connaissance du terrain.
Comptage loup , le 22 mars 2024 à 22h37;"<span class=""puce"">- Oui à une méthode de comptage fiable  <span class=""puce"">- Oui à une participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
comptage des loups, le 23 mars 2024 à 02h34;oui a une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage
Opinion sur ce projet par une agricultrice de montagne, le 23 mars 2024 à 05h42;SVP, prenez en considération les agriculteurs et personne dans les territoires de loups. Une méthode de comptage fiable est impérative et  que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Estimation population des loups, le 23 mars 2024 à 07h09;Favorable à ce projet dans la mesure où le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Méthode de comptage des loups en France, le 23 mars 2024 à 07h44;Avis favorable  pour une méthode de comptage fiable sur la quantité de Loups en France. Je demande à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups et modifiant l’arrêté du 23 octobre 2020 fixant le nombre maximum de spécimens de loups (Canis lupus) dont la destruction pourra être autorisée chaque année, le 23 mars 2024 à 07h49;"Oui à une méthode de comptage fiable ; Oui à une possible participation du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage."
Comptage loup, le 23 mars 2024 à 08h10;"Je souhaite une méthode de comptage fiable ; <span class=""puce"">- je demande  à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage."
Comptage des loups, le 23 mars 2024 à 08h17;Je souhaite une méthode scientifique donc fiable avec la participation du monde cynégétique
comptage du loup, le 23 mars 2024 à 08h34;une methode fiable associer le monde de la chasse à ce comptage
Arrêté relatif au comptage des loups, le 23 mars 2024 à 08h48;Je souhaite que la méthode de comptage employée soit la plus fiable possible. Je considère que tous les acteurs du monde cynégétique soient associés à ce comptage.
otxoa, le 23 mars 2024 à 09h07;avis favorable .pour que les instances cynegetiques y soit associes
monsieur, le 23 mars 2024 à 09h07;Bonjour Je souhaite que cette méthode soit validée et que le monde de la chasse soit acteur de ce projet
Un grand oui pour la nouvelle mèthode de comptage des loups, le 23 mars 2024 à 09h11;Tout à fait d’accord avec cette mèthode de comptage pour que l’on se rapproche au plus juste sur le nombre de loups en France ou ailleurs,tout d’abord de part la fiabilité de ce comptage.Il serait aussi interressant d’y inclure le monde cyne getique de part leur expertise et connaissance du terrain.Plus ce comptage sera fiable plus nous pourrons agir en consèquence pour le bien etre de tout le monde.
comptage du loup, le 23 mars 2024 à 09h16;"Oui, il s’agit de la  méthode de comptage la plus fiable ; attention, les chasseurs, de par leur présence assidue sur leurs territoires doivent être intégré dans le déploiement de cette méthode"
MOKTAR Jean-Paul , le 23 mars 2024 à 09h23;Très favorable à une méthode qui permettra de dénombrer la population de loups de façon fiable.  Il paraît indispensable d’associer les FDC , acteurs experts en matière de dénombrement de beaucoup d’espèces, à cette nouvelle méthodologie.
