titre;texte
Avis défavorable, le 31 mai 2025 à 10h06;Protéger les troupeaux et indemniser les éleveurs, et non tenter de détruire les loups !
loup, le 31 mai 2025 à 10h14;arretez le massacre : cherchez des vrais solutions de protection
Dérogation loup, le 31 mai 2025 à 10h25;Avis défavorable  Un des derniers grands prédateurs indispensables à la régulation et au maintien de la biodiversité des espaces naturels. Il ne suffit pas de monter des troupeaux en montagne et de les laisser se débrouiller pour être un berger. Nos voisins européens, Italie et surtout Espagne, maintiennent des populations de loups d’environ 1000 et 2500 individus, les bergers s’adaptent. En France,  150 à 200 ours et on sort les fusils à tous les étages, chercher l’erreur….
avis défavorable, le 31 mai 2025 à 11h19;Il faut trouver des mesures plus efficaces que la destruction systématique : effarouchement, protection des troupeaux.
Projet d’arrêté modifiant l’arrêté du 21/02/24 fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le Loup (canis lupus), le 31 mai 2025 à 11h20;AVIS DEFAVORABLE : La stagnation de la population lupine dans notre pays , la baisse des dégâts constatés sur les troupeaux d’animaux d’élevage et la progression des dégâts occasionnés sur les cultures et les exploitations forestières par les cervidés et les sangliers démontrent clairement la nécessité de conserver l’arreté du 21/02/24 en l’état.
Avis défavorable, le 29 mai 2025 à 16h11;Les vrais mesures de protection existent et fonctionnent dans d’autres pays. Pas besoin de tirs mais il faut mettre fin aux élevages extensif, le loup se nourrira toujours au plus facile, il faut juste que ça soit plus facile pour lui de s’attaquer à un chevreuil qu’à un troupeau…
Avis défavorable, le 29 mai 2025 à 16h20;Ce projet d’arrêté n’a pas vocation de limiter la prédation des loups, mais de flatter et calmer les organisations agricoles qui voient avec l’arrivée du loup un changement de leur pratique d’élevage et les fédérations de chasseurs qui, au mieux pensent à tord que le prélèvement de loups aura une incidence sur la prédation, et au pire attendent ce texte pour organiser des chasses plus excitantes que les chasses habituelles (chèvres et cochons dans le langage chasse soit chevreuils et sangliers…) Toutes les expérimentations ont montré que les tirs létaux n’avaient, dans  le temps, aucune efficacité contre la prédation. Bien que les troupeaux bovins/équins sont dit non protégeables, on impose une seule mesure de protection issue d’une liste qui mélange de vraies mesures de protections avec des mesures de détections et des mesures d’améliorations de l’organisation du travail. Il faut proposer de vraies mesures de protection comme cela est fait dans les pays où le loup n’ait jamais disparu.  Une véritable politique permettant de concilier l’élevage bovin équin et le maintien du loup doit passer par une prise en charge par l’état de certaines mesures de protection comme cela a été fait pour l’élevage ovin caprin et par la prise en compte des avis des organisations et expert dans le suivi du loup. Pour toutes ces raisons je suis défavorable à ce projet d’arrêté.
Avis DEFAVORABLE, le 29 mai 2025 à 16h26;Arrêtons de décimer tous ceux qui nous dérangent !!! les éleveurs d’aujourd’hui doivent protéger leurs troupeaux comme le faisaient les anciens !! Qu’ils arrêtent aussi leur pseudo empathie qui bizarrement disparaît complètement quand ils envoient leurs animaux à l’abattoir !! Stop à l’hypocrisie !! Et surtout longue et belle vie aux loups 🐺 ❤️❤️❤️
Avis défavorable, le 29 mai 2025 à 16h31;"Exiger en matière de mesures préventives la mise en oeuvre ""d’une au moins"" des mesures proposées dans la liste ( et dont certaines ne modifient en rien la vulnérabilité du troupeau) montre à quel point cette exigence n’est qu’une formule de communication pour éviter de dire que tout est permis. Il faudrait exiger la mise en place de toutes ces mesures ou lister a minima les vraies mesures nécessaires qui ont été éprouvées dans d’autres pays . En outre le concept de zone non protégeable signifie dans le jargon de la pseudo protection, zone où l’on ne veut pas imposer de mesures réelles de protection et où on ne veut pas de loup. Tout cela n’est que manipulation du langage et démagogie."
Agriculture bio diversité et prédation, le 29 mai 2025 à 16h33;Les associations environnementales ne participent pas financièrement aux dégâts engendrés par la faune sauvage qu’elles défendent et ce malgré des financements conséquents notamment suite aux procès contre les agriculteurs avec des dédommagements éclatent au regard du revenu agricoles.Les agriculteurs subissent seuls financièrement les dégâts. Par conséquent, je ne vois pas pourquoi on détruirait l’économie et l’entretien rural des territoires par la mise en précarité des élevages pour maintenir toujours plus de loups ou d’ours. Je ne souhaite pas l’extinction mais la régulation et surtout faire en sorte que ces animaux est à nouveau petit de l’homme. Le risque est sur demain nous soyons chasser à notre tour par ces opérateurs.
Avis défavorable, le 29 mai 2025 à 16h36;Le projet d’arrêté modificatif vise à élargir l’autorisation de procéder à des tirs de destruction de loups pour protéger les troupeaux de bovins ou d’équins qui sont considérés comme plus vulnérables que les troupeaux d’ovins. Sous réserve que cette plus grande vulnérabilité soit effective, les conditions exigées doivent être suffisantes pour éviter un recours par facilité à l’autorisation de tirs. L’attaque du troupeau doit présenter un niveau minimal de consistance qui devrait être défini : nombre de loups, nombre de victimes, nombre d’attaques…De même, la mise en œuvre par l’éleveur d’une seule mesure de protection paraît insuffisante, d’autant que certaines d’entre elles sont légères. Le projet d’arrêté ne fait pas le lien avec une gestion globale des populations de loups selon les territoires concernés, en clair le niveau d’exigence pour autorisation de tirs devrait être gradué selon que le troupeau concerné se situe dans un territoire où la présence du loup est déterminée comme compatible ou non.
Toujours contre !, le 29 mai 2025 à 16h36;La majorité des Français est pour le respect de la biodiversité. Le loup fait partie de notre patrimoine et a sa place dans la nature. S’il s’attaque parfois aux troupeaux c’est parce que le gibier qu’il chasse habituellement est prélevé à trop grande échelle par les chasseurs et que les troupeaux ne sont pas ou insuffisamment protégés. Changeons notre manière d’envisager le pastoralisme et finissons-en avec la chasse de loisirs qui affame les loups. Laissons leur une chance, il y a de la place pour tous lorsqu’on y met de la bonne volonté.
Non au loup, le 29 mai 2025 à 16h40;Le loup n’a plus sa place en France. Il doit être uniquement dans des parcs. Cet animal représente un danger pour la population humaine
Non au loup, le 29 mai 2025 à 16h42;Le loup présente un déséquilibre dans la chaîne alimentaire. Il perturbe également notre souveraineté alimentaire
Non au loup, le 29 mai 2025 à 16h48;Le loup doit être considéré comme une espèce chassable. Il occasionne trop de dégâts sur les animaux d’élevage
Non au loup, le 29 mai 2025 à 16h51;Les ecolos doivent payer les dégâts et ne plus avoir de subvention de l’état. Ils devraient également surveiller les troupeaux
Avis FAVORABLE, le 29 mai 2025 à 16h52;Je suis pour cette nouvelle mesure. La plus part des avis défavorables sont émis par des personnes qui sont à mille lieues de savoir ce que les éleveurs vivent et comment le territoire se modifie à cause de l’exposition de la population lupine.  Arrêtons de rêver 5 minutes, Yellowstone à la française ? Impossible dans les Alpes, la population humaine y est tellement importante que la conciliation des deux est impossible. Les loups n’ont plus peur de l’homme et se rapproche des maisons, toutes les expériences que j’ai eu le montrent. Seul mot : REGULATION
Autorisation de destruction des loups par les préfets, le 29 mai 2025 à 16h53;Avis très favorable. ça suffit de payer avec l’argent public les dégâts aux troupeaux et de traumatiser les éleveurs avec la peur de trouver leurs animaux égorgés et dévorés vivants tous les matins en allant voir leurs troupeaux. Il faut autoriser la chasse du loup par les lieutenant de louvèterie dès qu’une attaque se produit, c’est la seule solution pour limiter la prédation sinon quand le loup a agis c’est trop tard. il faut que les loups aient peur des chiens et des hommes sinon on va tout droit à la catastrophe avec la destruction de toute la faune sauvage.
Favorable, le 29 mai 2025 à 16h58;Je suis favorable pour la sauvegarde des troupeaux.
Stop à l’acharnement , le 29 mai 2025 à 17h00;Je suis contre l’insuffisance des mesures proposées dans le texte soumis à consultation publique. Il est temps de mettre un terme à la persécution des loups.
Tir des loups , le 29 mai 2025 à 17h14;Le loup est le moyen voulu par L’Europe pour réensauvager les espaces et donc, faire disparaitre l’élevage et les éleveurs ! L’étape d’après étant la financiarisation des espaces. Pour garder nos élevages vertueux de plein air et nos paysages ouverts,  il faut limiter au maximum la présence des loups et surtout leur rendre la peur de l’homme et des chiens qu’ils n’auraient jamais du perdre !  Je suis favorable a tous les moyens qui feront diminuer le nombre de loups en France.
Lupus, le 29 mai 2025 à 17h25;Juste une remarque : pourquoi la cohabitation avec les loups est-elle si problématique en France ? Chez nos voisins italiens-qui ont les mêmes loups-ça se passe bien mieux. Alors, à qui la faute ? Au loup ou à l’humain français ?
défavorable à l’éradication des loups, le 29 mai 2025 à 17h36;Les humains sont de plus en plus nombreux sur notre planète. Leur espèce se multiple et provoque la disparition progressive de toutes les autres dans l’indifférence d’ humains devenus en majorité des citadins. Cet appauvrissement du monde animal sauvage au profit d’espèces domestiques trafiquées est-il sans danger pour l’avenir ? On peut évidemment se poser cette question. Aider les bergers à mieux se protéger. Oui. Eliminer les loups. Non. Marie-Armelle echard
Avis défavorable, le 29 mai 2025 à 17h40;Les mesures de protection, adaptées et bien mises en place, ont fait la preuve de leur efficacité y compris sur bovins (cf étude FJML pour PNE Haut Jura 2025). Les tirs, bien que populaires parmi les éleveurs et chasseurs, n’ont jamais été évalués par l’Etat sur leur efficacité ou leur effets. Une étude française (O. Grente) a démontré qu’ils sont plutôt peu efficaces, inefficaces voire contre-productifs (augmentation des prédations).  Les solutions de protection que vous préconisez sont à la fois insuffisantes voire inefficaces pour certaines (rapprocher le troupeau de la ferme, ou lui rendre visite 1 fois par jour ne protège nullement de la prédation). Il a été démontré que l’installation de chiens de protection parmi les bovins est plus facile que chez des ovins, et que cette protection fonctionne.  Vous avez à disposition une somme d’études et d’expérimentations qui vous indiquent tous les moyens de protection dont vous pouvez disposer. Vous avez préféré ne pas en tenir compte, proposer des mesure qui ne protègent pas, et faciliter le tir létal du loup. C’est une démarche peu acceptable et démagogique qui ne peut mener qu’à l’échec et la surenchère de tirs. Et donc à la prolongation des dégats chez les éleveurs, chez les loups, et sur le climat social des régions concernées et du pays tout entier. C’est une faute grave.
Favorable , le 29 mai 2025 à 17h45;Favorable à la modification de l’arrêté.
Avis favorable , le 2 juin 2025 à 13h58;Favorable à la dérogation. Il est temps de prendre certaines mesures indispensables à la survie des troupeaux d’ovins, caprins, de bovins, devant la prolifération non maîtrisée des loups.  Les populations dépassent toutes les prévisions d’expansion.   Vivement qu’il y en ait dans la capitale… C’est toujours plus supportable chez les autres…
AVIS DEFAVORABLE, le 2 juin 2025 à 14h00;Le loup doit rester un animal très protégé. Les prédateurs ont leur place et sont indispensables dans notre environnement (rôle primordial dans l’équilibre environnemental). La protection des troupeaux sans tuer les loups est possible : bergers, chiens de protection, … Les agriculteurs doivent être accompagnés et aidés pour aller dans ce sens. Toutes les mesures de protection possibles doivent être mise en place, et non une seule : il faut se donner les moyens.  L’éducation des différents acteurs (agriculteurs, chasseurs, randonneurs, cyclistes, …) et la conciliation des usages sont primordiales et doivent également être accompagnées (comment se comporter en présence d’un chien de protection ?)
Avis DEFAVORABLE, le 2 juin 2025 à 14h14;Les décisions du gouvernement vont à l’encontre de tous les constats et recommandations des scientifiques et des associations naturalistes, y compris ceux du CNPN, c’est vraiment inquiétant ! Des mesures d’aide et de soutien financier aux éleveurs non négligeables existent déjà et devraient suffire à faire en sorte qu’enfin, une vraie cohabitation entre l’homme et le loup soit effective. Mais au lieu de cela les débats clivés, politisés et les polémiques persistent chez nous en France ce qui n’est pas le cas dans nos pays voisins. Sans minimiser les contraintes que cela fait peser sur les éleveurs il est vital de considérer le loup comme un élément essentiel de l’écosystème naturel et non pas juste comme comme un acteur menaçant et nuisible ! La population de loups en France n’est pas à un stade consolidé et les affaiblissements réglementaires successifs (Europe et France) ne sont pas acceptables !
Favorable, le 2 juin 2025 à 14h18;Permettre au pastoralismede montagne et aux éleveurs en général de vivre normalement de leur travail.  Sans l’homme pour le règuler le loup devient le prédateur ultime,  ne permettons pas celâ.
Avis Défavorable, le 2 juin 2025 à 14h32;Pourquoi pas créer de l’emploi en remettant simplement les bergers en place ?
Avis défavorable !! L’état de conservation du loup est défavorable et l’espèce reste fragile, le 2 juin 2025 à 14h36;"Madame, Monsieur, Il est consternant de voir que, malgré une analyse de l’Alliance Européenne pour la Conservation du loup (EAWC) commandée par la Commission en décembre 2023 - celle-ci confirmant le statut défavorable du canis lupus - la ministre de l’Agriculture parle de ""conservation favorable"". Pire, lors d’une déclaration devant les sénateurs, Mme Annie Genevard parle d’une ""logique de régulation"". Or, nous ne pouvons pas parler de ""régulation"" pour le loup, espèce protégée en France et en Europe et classée vulnérable sur la liste rouge de l’UICN.  Depuis son retour sur le territoire français, le loup subit encore d’une mauvaise réputation et reste un animal encore mal compris, surtout par nos politiques. Aujourd’hui, le quota d’abattage est fixé à 19 % de la population recensée. Un quota encore énorme compte tenu de la baisse de dynamique de reproduction chez les meutes reproductrices. De plus, les attaques recensées dernièrement sont constatées sur les territoires où l’espèce, jusqu’à présent, n’était pas présente. C’est notamment le cas en Bourgogne Franche-Comté et sur une partie du Jura. Or, c’est précisément à ces endroits que les troupeaux ne sont pas protégés. D’autant plus qu’il existe des mesures de protection suffisantes pour les troupeaux (clôtures électriques, patous, colliers infrarouges…). À l’inverse, les dommages sont considérablement en chute libre dans les espaces où les troupeaux sont protégés.  Sachez également que le loup a peur de l’humain. Sa présence suffit à éloigner l’animal du troupeau. Il est temps de cesser cette politique anti-loups et favoriser, au contraire, la coexistence entre cette espèce et l’humain."
avis defavorable, le 2 juin 2025 à 14h48;Les bovins tout comme les Ovins doivent etre protégée.   l Etat doit prendre ses responsabilités etaccompagner les eleveurs à proteger leurs troupeaux. Nous ne seront jamais à 0 predations, mais comme beaucoup d autre elevage ( volaille, escargot,…) un tres faibel pourcentage de perte doit pouvoir etre accepter les elevages.
avis défavorable, le 2 juin 2025 à 14h49;Les décisions du gouvernement vont à l’encontre de tous les constats et recommandations des scientifiques et des associations naturalistes, sans oublier l’avis des citoyens français, car 80% de notre population est favorable à l’installation du loup dans notre pays !!! Des mesures d’aide et de soutien financier aux éleveurs non négligeables existent déjà et devraient suffire à faire en sorte qu’enfin, une vraie cohabitation entre l’homme et le loup soit effective. Mais au lieu de cela les débats clivés, politisés et les polémiques persistent chez nous en France ce qui n’est pas le cas dans nos pays voisins. Sans minimiser les contraintes que cela fait peser sur les éleveurs il est vital de considérer le loup comme un élément essentiel de l’écosystème naturel et non pas juste comme comme un acteur menaçant et nuisible ! La population de loups en France n’est pas viable pour le moment.
avis favorable, le 2 juin 2025 à 14h58;Les décisions du gouvernement vont dans le sens de tous les constats et recommandations des scientifiques et des associations agricoles, sans oublier l’avis des citoyens français, car 80% de notre population est défavorable à l’installation du loup dans notre pays !!! Des mesures d’aide et de soutien financier aux éleveurs non négligeables existent déjà et ne suffisent à faire en sorte qu’ une vraie cohabitation entre l’homme et le loup soit possible. Mais au lieu de cela les débats clivés, politisés et les polémiques persistent chez nous en France ce qui est pas le cas dans nos pays voisins ( Espagne tir autorisé, Italie destruction possible plus simple, Suisse tir possible) . Sans minimiser les contraintes que cela fait peser sur les éleveurs  le loup ne sera jamais un élément essentiel de l’écosystème naturel et  juste comme comme un acteur menaçant et nuisible ! La population de loups en France est trop largement  viable pour le moment.
avis favorable, le 2 juin 2025 à 15h00;il est temps de limiter le nombre de loup,leur gand nombre nous coute trés cher en indemnisations.
Avis défavorable, le 2 juin 2025 à 15h35;Madame, Monsieur, Ce n’est pas une solution ! Au lieu de faciliter encore et toujours les tirs du loup, alors que l’efficacité de ces tirs n’est toujours pas prouvée, l’Etat devrait élaborer un « schéma de protection techniquement validé » pour les élevages bovins, en lien avec les professionnels, les parties prenantes et en tenant compte des expériences et pratiques dans d’autres pays, comme cela a été fait pour l’élevage ovin depuis des années déjà. Ce projet d’arrêté repose sur l’affirmation qu’il n’existe pas de référentiel de protection pour les troupeaux bovins-équins. Pourtant, une étude de parangonnage sur la politique publique du loup conduite par les inspections IGEDD/CGAAER (publiée en septembre 2023) indique justement que des moyens de protection des troupeaux bovins sont utilisés dans d’autres pays européens et sont efficaces. Ces mesures de protection sont à déterminer en fonction des caractéristiques locales et des conduites des troupeaux. La 6e recommandation de ce rapport IGEDD/CGAAER porte précisément sur l’abandon de la notion de non-protégeabilité pour les bovins. L’État ne peut pas faire reposer une évolution réglementaire sur des affirmations qu’il n’argumente pas, et ignorer les recommandations de ses propres services. Cordialement,
AVIS DEFAVORABLE, le 2 juin 2025 à 15h35;AVIS DEFAVORABLE a cette loi qui marche sur la tete
Avis favorable, le 2 juin 2025 à 15h47;Il faut réguler d’urgence ces pseudo loup plus vraiment naturel comme autrefois ! Il serait bien que ses tirs de loup soit simple à mettre en place et non pas en remplissant des tas de documents sans compter les contestations devant les tribunaux d’associations de toutes sortes. Pourquoi ce serait des personnes non concernés par les conséquences qui dicterai la loi? Que celui qui veut des loups les gardent chez lui ! Il y a urgence face a la détresse de l’élevage ! La faune va être détruite puis viendra les animaux domestique et les Hommes ! Quel pro- loup qui aurait sont animal de compagnie où quelqu’un de sa famille attaqué par le loup ne changerait pas d’avis?
AVIS DEFAVORABLE, le 2 juin 2025 à 15h52;Il est consterant de voir qu’en 2025, les décisions du gouvernement puissent encore aller à l’encontre des recommandations scientifiques, du bon sens, et de la protection de cette espèce animale. Des moyens existent pour faire cohabiter le loup - une espèce protégée et vulnérable - et les eleveurs, pour autant que les troupeaux soient protégés et cela est possible. Nous connaissons les methodes, et elles sont efficaces à chaque fois qu’elles sont mises en place ! Au lieu d’envisager une éradication à court ou moyen terme, il vaudrait mieux soutenir les eleveurs pour qu’ils mettent en place les protections adéquates. Combien de temps allons nous encore nous obstiner à détruire notre planète et notre ecosysteme ??
AVIS DEFAVORABLE , le 2 juin 2025 à 15h55;Avis défavorable
AVIS DEFAVORABLE, le 2 juin 2025 à 16h01;Il est incompréhensible que le gouvernement ne prenne pas en compte les recommandations scientifiques. Des mesures sont possibles pour faire cohabiter les éleveurs et les loups. Il suffit de protéger les troupeaux.  Des méthodes déjà existantes ont fait leurs preuves !
Avis défavorable., le 2 juin 2025 à 16h02;Il y a des solutions d’effarouchements et des protections à mettre en place. Humainement nous ne pouvons nous abaisser à éradiquer le sauvage.  Tuer veut dire ne pas vouloir le meilleur pour toute la biodiversité de notre environnement commun qu’on les animaux et les humains. Et la facilité reste honteuse n’est pas à la hauteur de la société que nous désirons tous et des dits responsables.
régulation du loup, le 2 juin 2025 à 16h12;Avis favorable pour l’arrêté
Avis Défavorable sur la modification de l’arrêté relatif aux dérogations à l’interdiction de destruction du loup (Canis lupus), le 2 juin 2025 à 16h20;J’ai un avis défavorable à la modification de l’arrêté fixant les conditions et les limites dans lesquelles les préfets peuvent accorder des dérogations à l’interdiction de destruction du loup. Cette nouvelle mouture du texte présente plusieurs reculs préoccupants, tant sur le plan écologique que sur celui de la cohérence des politiques publiques en matière de biodiversité et de cohabitation avec les grands prédateurs. En premier lieu, la disparition de l’exigence de recours préalable à l’effarouchement — pourtant reconnue comme méthode non létale et éprouvée de dissuasion — constitue une régression majeure. Elle retire une étape essentielle qui permettait d’encadrer les tirs létaux et de limiter leur usage aux situations les plus critiques. De plus, le seuil déclencheur pour autoriser un tir demeure extrêmement bas : une seule prédation dans les 12 derniers mois peut suffire. Ce critère, bien qu’il engage potentiellement la vie d’un individu d’une espèce protégée, n’est assorti d’aucune exigence démontrée quant à l’efficacité des tirs pour réduire les prédations. Cette absence de fondement scientifique fragilise l’ensemble du dispositif. Par ailleurs, l’évaluation de l’état de conservation du loup repose exclusivement sur les effectifs nationaux, sans prise en compte des dynamiques locales. Une telle approche ne reflète pas la réalité écologique de nombreux territoires où la population lupine reste faible, instable ou fragmentée.
AVIS FAVORABLE, le 2 juin 2025 à 16h22;"Faudra-t-il attendre que des français en promenade ou randonnée soient victimes du loup pour réguler cette espèce? Je demande à tous d’essayer de ce mettre à la place d’un éléveur et de son état psychologique lorsqu’il a subi une ou plusieurs attaques (ne parlons pas du plan économique et du parcours du combattant pour que l’administration intervienne) ; c’est invivable, une véritable torture qu’on inflige aux éleveurs dont le troupeau a été attaqué. Je rappellerai que, lorsqu’on a copié ce qu’avvait mis en place les autrichiens (caméra, double clotûre, chiens patous) on a oublié d’ applique la dernière mesure : tir d’effarouchement autorisé par l’éleveur attaqué. L’administration française ne fait pas confiance à nos éleveurs, ni à tous les autres agriculteurs ; elle veut tout maîtriser par des réglements toujours plus nombreux et cohercitifs. On ne fait pas confiance non plus à l’intelligence du loup qui aurait vite compris, après avoir reçu un peu de plomb à 70 m(il faut s’en approcher !), qu’il devient ""personna non grata"" sur ce territoire. Donc, oui à toutes mesures simplificatrices et donnant la responsabilité aux acteurs économiques."
Défavorable , le 3 juin 2025 à 20h06;L’homme envahit le territoire de la vie sauvage et il serait temps de mettre des limites pour l’homme et non pour la nature.
Avis défavorable., le 3 juin 2025 à 20h07;"Augmenter les tirs n’est pas une solution. Les loups reviennent et reviendront toujours, (depuis les Alpes, l’Italie, l’Allemagne, les pays de l’Est voire l’Espagne, où ils sont présents) en raison de la dispersion des jeunes loups qui suit la période de reproduction,  et du fait que, contrairement au siècle précédent, où les forêts avaient été ravagées, les loups ont aujourd’hui retrouvé un habitat adapté à leur présence en France, en raison du reboisement.  Abattre des loups au lieu de s’adapter à leur présence est le meilleur moyen de s’exposer à de nouvelles attaques sans fin. Des dispositifs de protection des troupeaux existent (et pas seulement les chiens !), tels que les clôtures (éventuellement électrifiées) avec drapeaux (turbo fladry). Ne pas les employer en pensant que des tirs régleront le problème est totalement contre productif. Par ailleurs, il est préférable dans un territoire donné d’avoir une meute de loups (une meute ce n’est pas 15 individus, mais en général un couple et un ou deux jeunes) qui peuvent chasser du gibier en groupe, plutôt que de décimer les troupeaux et se retrouver avec des individus isolés qui ne peuvent chasser et se rabattent sur du bétail. Les loups installés sur un territoire peuvent également apprendre à leur progéniture à éviter les troupeaux, en raison des mesures de protection mises en place par l’homme. Un loup errant n’aura pas cette éducation et présentera plus de risques d’attaques de troupeaux. Pour toutes ces raisons (non exhaustives), le tir doit rester une exception stricte et ne constitue aucunement une solution au ""problème loup"", bien au contraire !"
Avis défavorable !, le 3 juin 2025 à 20h12;Les loups participent à l’équilibre d’un milieu en prélevant des chevreuils et autres proies. Sans ce régulateur, les milieux se dérèglent, par exemple les jeunes arbres ne poussent plus en forêt car détruits par des cervidés en surnombre… En Italie dans le parc national des Abruzzes, les bergers savent composer avec les loups et sont prêts à partager leur expérience.
DÉFAVORABLE , le 3 juin 2025 à 20h14;En complément de la chasse, les populations de grands gibiers ont besoin d’être régulées par un prédateur naturel…qui n’aurait jamais dû être quasiment exterminé.
TOTALEMENT CONTRE !!, le 3 juin 2025 à 20h17;Des solutions non létales efficaces existent, en France comme ailleurs en Europe : clôtures, chiens de protection, présence humaine renforcée ou effarouchement, souvent soutenus par des aides financières. Ces alternatives doivent être priorisées. STOP À LA DESTRUCTION DE LA NATURE !
avis défavorable !, le 3 juin 2025 à 20h17;Non à ces propositions de dérogations qui accentuent les menaces pour la conservation de cette espèce protégée, sans apporter de solutions efficaces et durables aux problèmes rencontrés par les éleveurs.
Défavorable , le 3 juin 2025 à 20h18;Il est tant d’apprendre à vivre avec ce qui nous entoure et d’arrêter de vouloir toujours tout exterminer. Chaque animal à sa place et est important pour avoir un équilibre naturel. Notre démographie reste le problème principal comme sur beaucoup d’autres sujets.  J’ai lu beaucoup d’articles et de témoignages concernant les éleveurs, les problèmes et les solutions. Il en existe et elles fonctionnent. On ne peut pas décider d’abattre des animaux alors que rien n’est mis en place pour protéger les troupeaux. Mettre en place des aides pour installer des dispositifs non létaux.
DÉFAVORABLE, le 3 juin 2025 à 20h19;Je m’oppose aux modifications de l’article 6 de l’arrêté du 21 février 2024. Vous ne semblez aucunement vous soucier de l’état de conservation du loup dans les différentes zones qui pourraient être affectées par les autorisations de tir. Or, les dommages sur les élevages ne sont pas les seules choses à prendre en compte, car l’existence des êtres humains et de leur industrie animale n’est pas la seule chose qui compte sur cette planète ! Il existe des solutions non létales telles que la présence humaine (éleveurs, bergers, bénévoles), les clôtures, les chiens de protection ou l’effarouchement, qui sont, à l’heure actuelle, bien trop peu soutenues financièrement. Je ne peux que vous encourager à privilégier ces solutions et leur soutien plutôt que de choisir d’autoriser des meurtres de loups.  D’ailleurs, votre seuil déclencheur pour autoriser ces abatages est intolérablement bas : l’article IV de l’arrêté du 21 février 2024 indique qu’une seule prédation au cours des 12 derniers mois suffit pour permettre l’obtention d’une dérogation, et dans votre modification vous proposez que l’application d’une seule mesure de réduction de vulnérabilité soit suffisante pour obtenir une autorisation de tir. C’est aberrant !  Comme l’indique certaines associations : des moyens de protection efficaces existent ailleurs en Europe (cf l’étude « Parangonnage sur la politique publique du loup »), prenez donc exemples sur nos voisins !
Défavorable , le 3 juin 2025 à 20h20;Non à la destruction du loup dans son espace vital !
Défavorable , le 3 juin 2025 à 20h21;Les loups sont indispensables à la nature
Avis défavorable , le 3 juin 2025 à 20h21;Je suis contre l’abattage des loups. Ils sont indispensables  à la bonne santé de l’écosystème. Il faut laisser la place à ces prédateurs indispensables,  non aux chasseurs.
Défavorable , le 3 juin 2025 à 20h23;Je suis complètement défavorable à la modification de l’arrêté ! Chacun a un rôle les loups comme les éleveurs, pourquoi l’humain serait supérieur au autres genres de vie !
Contre, le 3 juin 2025 à 20h23;Y a-t-il de réelles preuves que ce sont des loups? Et les bêtes doivent être mieux protégées si elles se font attaquer, c’est ça la solution, pas tuer.
DEFAVORABLE, le 3 juin 2025 à 20h24;J’exprime un avis défavorable sur le projet d’arrêté     L’attribution des autorisations de tir par les Préfets se base uniquement sur les dommages, il doit intégrer évaluation de l’état de conservation du loup aux différents niveaux géographiques.     Les solutions telles que la présence humaine (éleveurs, bergers, bénévoles), les clôtures, les chiens de protection ou l’effarouchement, soutenus par une aide financière adaptée, doivent être privilégiées avant toute autorisation de destruction.      Aucun bilan des effets des arrêtés précédents sur la conservation du loup et sur les dommages aux troupeaux n’a été réalisé.       L’élaboration de l’analyse technico-économique territoriale n’est pas sérieuse.       Le seuil déclencheur d’une autorisation de destruction est très faible : une seule prédation au cours des 12 derniers mois suffit.     Si l’élaboration d’une liste de mesures de réduction de vulnérabilité est un progrès de principe par rapport à l’affichage de la « non-protégeabilité » des troupeaux de bovins, une seule de ces mesures peut suffire pour obtenir une autorisation de tir. Il est important qu’au minimum deux mesures soient requises, afin que le dispositif soit efficace en termes de protection.      Des moyens de protection efficaces pour les troupeaux bovins et équins existent ailleurs en Europe et fonctionnent très bien, comme le montre l’étude « Parangonnage sur la politique publique du loup ».
Avis défavorable, le 3 juin 2025 à 20h24;Je ne soutiens pas ce projet d’arrêté.
Avis Défavorable ! , le 3 juin 2025 à 20h27;Avis défavorable !
Avis défavorable , le 3 juin 2025 à 20h28;C’est aux producteurs de protéger leurs cheptel… terrain clôturé et électrifié et chien de garde et non à la nature et ces animaux de partir et de se ploer a leur volonter …
DÉFAVORABLE, le 3 juin 2025 à 15h44;Les solutions non létales telles que la présence humaine (éleveurs, bergers, bénévoles), les clôtures, les chiens de protection ou l’effarouchement, soutenus par une aide financière adaptée, doivent être privilégiées avant toute autorisation de destruction.
DEFAVORABLE, le 3 juin 2025 à 15h44;Contre ce nouvel arrêté, le loup est indispensable à la régulation de la biodiversité et un réel atout des écosystèmes !
Conservation du Loup chez nous , le 3 juin 2025 à 15h45;DEFAVORABLE, le 3 juin 2025 à 15h38 Le loup a toute sa place dans la biodiversité. Il prélève très majoritairement dans la faune sauvage, et s’auto régule trés efficacement. La cohabitation peut s’organiser sans tuer, cela se pratique avec succès dans d’autres pays.
DÉFAVORABLE , le 3 juin 2025 à 15h47;Contre cet arrêté, le loup est un pilier des écosystèmes, il est indispensable dans la régulation de la biodiversité ! Cherchez d’autres solutions plus durables !
Défavorable , le 3 juin 2025 à 15h48;Contre ce nouvel arrêté, le loup est indispensable à la régulation de la biodiversité et un réel atout des écosystèmes !
Défavorable , le 3 juin 2025 à 15h48;Je suis défavorable à cet arrêté. Parler de destruction du Loup est scandaleux. Trouvons des moyens pour protéger les élevages mais ne touchez pas au Loup !
