titre;date;heure;sujet;raw_text;checked_text;lemma;Opinion_estimée
Défavorable ;28 mai 2025;15h19;Défavorable , le 28 mai 2025 à 15h19;Défavorable . Défavorable pour la mort du loup. Il y a beaucoup de moyens mis pour protéger les troupeaux.;Défavorable . Défavorable pour la mort du loup. Il y a beaucoup de moyens mis pour protéger les troupeaux.;défavorable défavorable pour mort loup beaucoup moyen mis pour protéger troupeau;Défavorable
AVIS DÉFAVORABLE ;28 mai 2025;14h03;AVIS DÉFAVORABLE , le 28 mai 2025 à 14h03;AVIS DÉFAVORABLE . L’écosystème a besoin du loup. Les méthodes d’élevage italiennes sont à regarder de plus près puisque les éleveurs partagent leur espace avec le loup.;AVIS DÉFAVORABLE . L’écosystème a besoin du loup. Les méthodes d’élevage italiennes sont à regarder de plus près puisque les éleveurs partagent leur espace avec le loup.;avis défavorable écosystème besoin loup méthode élevage italien regarder éleveur partager espace loup;Défavorable
Avis DEFAVORABLE au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup.;28 mai 2025;09h31;Avis DEFAVORABLE au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup., le 28 mai 2025 à 09h31;Avis DEFAVORABLE au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup.. Des moyens de protection existent ! Il faut obliger les éleveurs à les utiliser. Le problème est que les troupeaux sont laissés sans surveillance. La seule solution trouvée par la France est toujours la même : Tuerie générale ! Le loup est une espèce protégée, il doit pouvoir vivre sans être traqué en permanence. Arrêtez de détruire le Vivant : la biodiversité s’effondre dans l’indifférence générale. TOUT CELA EST EFFRAYANT ET SCANDALEUX !!!;Avis DÉFAVORABLE au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup.. Des moyens de protection existent ! Il faut obliger les éleveurs à les utiliser. Le problème est que les troupeaux sont laissés sans surveillance. La seule solution trouvée par la France est toujours la même : Tuerie générale ! Le loup est une espèce protégée, il doit pouvoir vivre sans être traqué en permanence. Arrêtez de détruire le Vivant : la biodiversité s’effondre dans l’indifférence générale. TOUT CELA EST EFFRAYANT ET SCANDALEUX !!!;avis défavorable projet arrêté dérogation interdiction destruction loup moyen protection exister falloir obliger éleveur utiliser problème troupeau laisser surveillance solution trouver tuerie générale loup espèce protéger pouvoir vivre traquer permanence arrêter détruire vivant biodiversité effondrer indifférence générale effrayant scandaleux;Défavorable
POUR UN SIMULACRE DE LEGITIME DEFENSE ?;28 mai 2025;14h04;POUR UN SIMULACRE DE LEGITIME DEFENSE ?, le 28 mai 2025 à 14h04;"POUR UN SIMULACRE DE LEGITIME DEFENSE ?. AVIS DEFAVORABLE Le dispositif retenu par ce texte pour la protection des troupeaux fait preuve d’une confondante légèreté : la mise en oeuvre d’une seule des nombreuses mesures supposées réduire la vulnérabilité des élevages suffirait, en effet, à en assurer la validation (dont celle-ci, entre autres : ""Visite quotidiennes des lots concernés"" !! ) Difficile de proposer un projet d’arrêté moins contraignant pour l’exploitant… Mais un pas de plus vers une victimisation sans peine, ou vers un simulacre de légitime défense. Et de quoi prétendre à de nouvelles autorisations de tirs sur une espèce protégée…";"POUR UN SIMULACRE DE LÉGITIME DÉFENSE ?. AVIS DÉFAVORABLE Le dispositif retenu par ce texte pour la protection des troupeaux fait preuve d’une confondante légèreté : la mise en œuvre d’une seule des nombreuses mesures supposées réduire la vulnérabilité des élevages suffirait, en effet, à en assurer la validation (dont celle-ci, entre autres : ""Visite quotidiennes des lots concernés"" !! ) Difficile de proposer un projet d’arrêté moins contraignant pour l’exploitant… Mais un pas de plus vers une victimisation sans peine, ou vers un simulacre de légitime défense. Et de quoi prétendre à de nouvelles autorisations de tirs sur une espèce protégée…";pour simulacre légitime défense avis défavorable dispositif retenir texte pour protection troupeau preuve confondant légèreté mise œuvre mesure supposer réduire vulnérabilité élevage suffire assurer validation visiter quotidien lot concerner difficile proposer projet arrêté contraignant pour exploitant victimisation peiner simulacre légitime défense prétendre nouveau autorisation tir espèce protéger;Défavorable
AVIS DEFAVORABLE;28 mai 2025;14h46;AVIS DEFAVORABLE, le 28 mai 2025 à 14h46;AVIS DEFAVORABLE. L’État n’a pas démontré l’efficacité des tirs pour protéger durablement les élevages bovins ou équins. D’autres pays voisins ont validé d’autres pratiques qui pourraient plus utilement aider les éleveurs à protéger leurs animaux. Un tir doit être justifié par l’existence de « dommages importants aux troupeaux domestiques ». Une seule attaque en NOMBRE mois est un seuil beaucoup trop bas qui ne correspond pas à la définition des « dommages importants » et qui ne peut justifier d’autoriser des tirs létaux quand la possibilité de tirs d’effarouchements pourraient suffire. Le loup doit rester avant tout une espèce protégée et l’Etat doit aider les éleveurs à s’en protéger efficacement avant toute chose. Alain Jean.;AVIS DÉFAVORABLE. L’État n’a pas démontré l’efficacité des tirs pour protéger durablement les élevages bovins ou équins. D’autres pays voisins ont validé d’autres pratiques qui pourraient plus utilement aider les éleveurs à protéger leurs animaux. Un tir doit être justifié par l’existence de « dommages importants aux troupeaux domestiques ». Une seule attaque en NOMBRE mois est un seuil beaucoup trop bas qui ne correspond pas à la définition des « dommages importants » et qui ne peut justifier d’autoriser des tirs létaux quand la possibilité de tirs d’effarouchements pourraient suffire. Le loup doit rester avant tout une espèce protégée et l’État doit aider les éleveurs à s’en protéger efficacement avant toute chose. Alain Jean.;avis défavorable état démontrer efficacité tir pour protéger durablement élevage bovin équin pays voisin valider pratique pouvoir utilement aider éleveur protéger animal tir justifier existence dommage important troupeau domestique attaquer nombre mois seuil beaucoup trop correspondre définition dommage important justifier autoriser tir létal possibilité tir effarouchement pouvoir suffire loup rester espèce protéger état aider éleveur protéger efficacement chose alain jean;Défavorable
Favorable;28 mai 2025;15h08;Favorable, le 28 mai 2025 à 15h08;Favorable. L’éleveur doit pouvoir protéger son troupeau;Favorable. L’éleveur doit pouvoir protéger son troupeau;favorable éleveur pouvoir protéger troupeau;Favorable
avis défavorable;28 mai 2025;15h08;avis défavorable, le 28 mai 2025 à 15h08;avis défavorable. Encore une consultation alors que leur seul but est de tuer encore plus de loup, on a beau leur dire qu’ils ont toute leur place dans la nature (leur présence est indispensable ), rien n’y fait. Tous les animaux sauvages gênent de toutes façon. Ils vont les éradiquer et le prochain gouvernement en fera venir, de je ne sais où, pour les ré-introduire, exemple réussit pour l’ours…;avis défavorable. Encore une consultation alors que leur seul but est de tuer encore plus de loup, on a beau leur dire qu’ils ont toute leur place dans la nature (leur présence est indispensable ), rien n’y fait. Tous les animaux sauvages gênent de toutes façon. Ils vont les éradiquer et le prochain gouvernement en fera venir, de je ne sais où, pour les ré-introduire, exemple réussit pour l’ours…;avis défavorable consultation but tuer loup beau place nature présence indispensable rien animal sauvage gêner éradiquer prochain gouvernement faire venir savoir pour ré-introduire exemple réussir pour ours;Défavorable
FAVORABLE;28 mai 2025;15h08;FAVORABLE, le 28 mai 2025 à 15h08;FAVORABLE. Je suis favorable au projet de simplification de tir des loups.;FAVORABLE. Je suis favorable au projet de simplification de tir des loups.;favorable favorable projet simplification tir loup;Favorable
Avis favorable ;28 mai 2025;14h47;Avis favorable , le 28 mai 2025 à 14h47;Avis favorable . Avis très favorable à la régulation du loup par tous les moyens possibles… Enlever du stress aux éleveurs et aux animaux. Le loup n à pas de prédateurs et nous sommes un pays où l élevage est développé sur tous nos territoires;Avis favorable . Avis très favorable à la régulation du loup par tous les moyens possibles… Enlever du stress aux éleveurs et aux animaux. Le loup n à pas de prédateurs et nous sommes un pays où l élevage est développé sur tous nos territoires;avis favorable avis favorable régulation loup moyen enlever stress éleveur animal loup ne prédateur sommes pays l élevage développé territoire;Favorable
Avis défavorable;28 mai 2025;23h35;Avis défavorable, le 28 mai 2025 à 23h35;Avis défavorable. Laissez les loups en paix ! Laissez la chaine alimentaire faire son travail. A force de tout vouloir maitriser, l’homme se détruit et détruit la planete. Les pradateurs naturels servent à reguler les populations. Et en NOMBRE nous avons bien d’autres moyens que des armes????;Avis défavorable. Laissez les loups en paix ! Laissez la chaîne alimentaire faire son travail. A force de tout vouloir maîtriser, l’homme se détruit et détruit la planète. Les prédateurs naturels servent à réguler les populations. Et en NOMBRE nous avons bien d’autres moyens que des armes????;avis défavorable laisser loup paix laisser chaîne alimentaire faire travail forcer vouloir maîtriser homme détruire détruire planète prédateur naturel servir réguler population nombre bien moyen arme;Défavorable
Avis défavorable;28 mai 2025;14h53;Avis défavorable, le 28 mai 2025 à 14h53;Avis défavorable. Il existe des moyens de protection des troupeaux. Le loup est nécessaire à la biodiversité et doit être mieux protégé.;Avis défavorable. Il existe des moyens de protection des troupeaux. Le loup est nécessaire à la biodiversité et doit être mieux protégé.;avis défavorable exister moyen protection troupeau loup nécessaire biodiversité mieux protéger;Défavorable
Modification du décret, pour autoriser plus de tirs sur les loups ;28 mai 2025;14h55;Modification du décret, pour autoriser plus de tirs sur les loups , le 28 mai 2025 à 14h55;"Modification du décret, pour autoriser plus de tirs sur les loups . Je suis absolument contre ! Arrêtez cet acharnement contre les loups, ces pauvres bêtes ont déjà assez de mal à survivre ; c’est honteux qu’une société ne puisse pas préserver la biodiversité et accepter la cohabitation avec d’autres espèces ; quant aux éleveurs et à leurs lamentations hypocrites sur des animaux qu’ils envoient sans sourciller à l’abattoir, qu’ils prennent les mesures nécessaires pour les préserver ! Je suis écoeurée par notre société qui n’a aucune compassion envers les animaux, domestiques ou sauvages.";"Modification du décret, pour autoriser plus de tirs sur les loups . Je suis absolument contre ! Arrêtez cet acharnement contre les loups, ces pauvres bêtes ont déjà assez de mal à survivre ; c’est honteux qu’une société ne puisse pas préserver la biodiversité et accepter la cohabitation avec d’autres espèces ; quant aux éleveurs et à leurs lamentations hypocrites sur des animaux qu’ils envoient sans sourciller à l’abattoir, qu’ils prennent les mesures nécessaires pour les préserver ! Je suis écœurée par notre société qui n’a aucune compassion envers les animaux, domestiques ou sauvages.";modification décret pour autoriser tir loup absolument contre arrêter acharnement contre loup pauvre bête mal survivre honteux société pouvoir préserver biodiversité accepter cohabitation espèce éleveur lamentation hypocrite animal envoyer sourciller abattoir prendre mesure nécessaire pour préserver écœurée société aucun compassion animal domestique sauvage;Défavorable
Protection des troupeaux ET protection du loup;28 mai 2025;14h35;Protection des troupeaux ET protection du loup, le 28 mai 2025 à 14h35;Protection des troupeaux ET protection du loup. Je ne suis pas favorable du tout aux nouvelles autorisations du Préfet pour des tirs de loups. L’argument de sécurité alimentaire est mensonger comme si NOMBRE loups pouvaient affamer les francais ! C’est un acharnement contre la biodiversite. Par contre je suis favorable à la protection des troupeaux ce qui donnerait des emplois à des bergers ou autres. Huguette Costé;Protection des troupeaux ET protection du loup. Je ne suis pas favorable du tout aux nouvelles autorisations du Préfet pour des tirs de loups. L’argument de sécurité alimentaire est mensonger comme si NOMBRE loups pouvaient affamer les français ! C’est un acharnement contre la biodiversité. Par contre je suis favorable à la protection des troupeaux ce qui donnerait des emplois à des bergers ou autres. Huguette Costa;protection troupeau protection loup favorable nouveau autorisation préfet pour tir loup argument sécurité alimentaire mensonger nombre loup pouvoir affamer français acharnement contre biodiversité contre favorable protection troupeau donner emploi berger huguette costa;Favorable
AVIS DEFAVORABLE;28 mai 2025;08h51;AVIS DEFAVORABLE, le 28 mai 2025 à 08h51;AVIS DEFAVORABLE. Tous les troupeaux sont protégeables , les moyens de protection reconnus existent : surveillance, chiens, parcs électrifiés… Les loups ont toute leur place sur le territoire, les tirs ne seront jamais la solution.;AVIS DÉFAVORABLE. Tous les troupeaux sont protégeable , les moyens de protection reconnus existent : surveillance, chiens, parcs électrifiés… Les loups ont toute leur place sur le territoire, les tirs ne seront jamais la solution.;avis défavorable troupeau protégeable moyen protection reconnaître exister surveillance chien parc électrifier loup place territoire tir jamais solution;Défavorable
Defavorable;28 mai 2025;09h27;Defavorable, le 28 mai 2025 à 09h27;Defavorable. Il n’y a pas plus important dans le monde que de détruire le vivant ? Au lieu de toujours vouloir tuer encore et toujours plus on ne pourrait pas faire en sorte de protéger ce qu’il reste de notre hôte, la planète terre ?;Défavorable. Il n’y a pas plus important dans le monde que de détruire le vivant ? Au lieu de toujours vouloir tuer encore et toujours plus on ne pourrait pas faire en sorte de protéger ce qu’il reste de notre hôte, la planète terre ?;défavorable important monde détruire vivant lieu vouloir tuer faire sorte protéger hôte planète terrer;Défavorable
non;28 mai 2025;09h17;non, le 28 mai 2025 à 09h17;non. non à l’abattage de quelque dizaines ou centaines de loups qui font beaucoup, beaucoup moins de dégats à la faune que NOMBRE millions d’humains qui sont de très loin le plus grand prédateur. J’ai honte d’être une humaine.;non. non à l’abattage de quelque dizaines ou centaines de loups qui font beaucoup, beaucoup moins de dégâts à la faune que NOMBRE millions d’humains qui sont de très loin le plus grand prédateur. J’ai honte d’être une humaine.;non non abattage dizaine centaine loup beaucoup beaucoup dégât faune nombre million humain loin grand prédateur honte humain;Défavorable
Dérogation protection du loup;28 mai 2025;13h30;Dérogation protection du loup, le 28 mai 2025 à 13h30;Dérogation protection du loup. Avis défavorable. Aucune étude scientifique n’a démontré l’intérêt comme l’efficacité des mesures proposées (tir ) pour réduire de manière significative les pertes, surtout s’il n’existe pas de surveillance adaptée autour de ces troupeaux. L’évolution de la consommation de viande, les risques sanitaires et leur meilleure gestion et anticipation, les tendances au niveau des importations de viande intra et extra communautaire, représentent les vraies priorités.;Dérogation protection du loup. Avis défavorable. Aucune étude scientifique n’a démontré l’intérêt comme l’efficacité des mesures proposées (tir ) pour réduire de manière significative les pertes, surtout s’il n’existe pas de surveillance adaptée autour de ces troupeaux. L’évolution de la consommation de viande, les risques sanitaires et leur meilleure gestion et anticipation, les tendances au niveau des importations de viande nitra et extra communautaire, représentent les vraies priorités.;dérogation protection loup avis défavorable aucun étude scientifique démontrer intérêt efficacité mesure proposer tir pour réduire manière significatif perte exister surveillance adapter autour troupeau évolution consommation viande risque sanitaire meilleur gestion anticipation tendance niveau importation viande nitra extra communautaire représenter vrai priorité;Défavorable
TOTALEMENT CONTRE !!!;28 mai 2025;10h15;TOTALEMENT CONTRE !!!, le 28 mai 2025 à 10h15;"TOTALEMENT CONTRE !!!. Totalement contre l’abattage des loups (ou tout autre animal sauvage ). Tous ont leur place sur cette planète (contrairement à certains humains ). Si les éleveurs ne sont pas capables de protéger leurs troupeaux, qu’ils changent de métier !!! On a du leur raconter dans leur enfance trop d’histoires sur ""le grand méchant loup"". Arrêtons de massacrer tous ces animaux, quels qu’ils soient. Nous avons BESOIN d’eux.";"TOTALEMENT CONTRE !!!. Totalement contre l’abattage des loups (ou tout autre animal sauvage ). Tous ont leur place sur cette planète (contrairement à certains humains ). Si les éleveurs ne sont pas capables de protéger leurs troupeaux, qu’ils changent de métier !!! On a du leur raconter dans leur enfance trop d’histoires sur ""le grand méchant loup"". Arrêtons de massacrer tous ces animaux, quels qu’ils soient. Nous avons BESOIN d’eux.";totalement contre totalement contre abattage loup animal sauvage place planète contrairement humain éleveur capable protéger troupeau changer métier raconter enfance trop histoire grand méchant loup arrêter massacrer animal être besoin;Défavorable
Défavorable;28 mai 2025;10h15;Défavorable, le 28 mai 2025 à 10h15;Défavorable. Comment un Préfet peut-il savoir TOUT !;Défavorable. Comment un Préfet peutil savoir TOUT !;défavorable préfet peutil savoir;Défavorable
Abattage des loups ;28 mai 2025;10h06;Abattage des loups , le 28 mai 2025 à 10h06;Abattage des loups . J’écris ici pour donner un avis DÉFAVORABLE, les autres pays européens arrivent à faire cohabiter les loups et les troupeaux. Pourquoi pas nous ? Il existe des solutions comme les protections de troupeau par des ânes qui permettent une cohabitation. Même si je comprends le désarroi de certains agriculteurs, la solution n’est pas l’éradication de cet animal extraordinaire.;Abattage des loups . J’écris ici pour donner un avis DÉFAVORABLE, les autres pays européens arrivent à faire cohabiter les loups et les troupeaux. Pourquoi pas nous ? Il existe des solutions comme les protections de troupeau par des ânes qui permettent une cohabitation. Même si je comprends le désarroi de certains agriculteurs, la solution n’est pas l’éradication de cet animal extraordinaire.;abattage loup écrire ici pour donner avis défavorable pays européen arriver faire cohabiter loup troupeau exister solution protection troupeau âne permettre cohabitation comprendre désarroi agriculteur solution éradication animal extraordinaire;Défavorable
Avis défavorable;28 mai 2025;09h59;Avis défavorable, le 28 mai 2025 à 09h59;"Avis défavorable. Il y a des solutions autre que la barbarie pour protéger les troupeaux des loups. Rapprochez vous des pays voisins qui cohabitent très bien avec cet animal. Mais la plupart des éleveurs Français préfèrent crier ""au loup’ comme d’habitude au lieu de se retrousser les manches pour mettre en place les moyens existants pour éviter la prédation. Ca suffit les lobbys et il faut protéger le loup qui a le droit de vivre dans notre pays.";"Avis défavorable. Il y a des solutions autre que la barbarie pour protéger les troupeaux des loups. Rapprochez vous des pays voisins qui cohabitent très bien avec cet animal. Mais la plupart des éleveurs Français préfèrent crier ""au loup’ comme d’habitude au lieu de se retrousser les manches pour mettre en place les moyens existants pour éviter la prédation. CA suffit les lobbys et il faut protéger le loup qui a le droit de vivre dans notre pays.";avis défavorable solution barbarie pour protéger troupeau loup rapprocher pays voisin cohabiter bien animal plupart éleveur français préférer crier loup habitude lieu retrousser manche pour mettre place moyen existant pour éviter prédation ca lobby falloir protéger loup droit vivre pays;Défavorable
DÉFAVORABLE;28 mai 2025;09h54;DÉFAVORABLE, le 28 mai 2025 à 09h54;DÉFAVORABLE. TUER, TUER, TUER… HONTE d’être citoyenne d’un pays qui se distingue encore et toujours par ses attaques à la biodiversité, et dont les politiques sont aux mains de lobbies : chasseurs, agroindustriels, BTP… pour qui le vivant est soit une proie à éliminer, soit une entrave à leurs intérêts économiques et financiers. Le loup, comme l’ours, est un symbole de cette folie destructrice des hommes qui voient dans la nature une ennemie à soumettre, au lieu d’une partenaire à respecter. C’est fièrement assis sur les monceaux de cadavres de tous les êtres vivants que nous aurons chassés ou empoisonnés que nous disparaîtrons à notre tour. Tel est l’issue vers laquelle nous entraînent nos (ir )responsables, qu’ils soient français, européens ou d’ailleurs. Anne-Marie PENON;DÉFAVORABLE. TUER, TUER, TUER… HONTE d’être citoyenne d’un pays qui se distingue encore et toujours par ses attaques à la biodiversité, et dont les politiques sont aux mains de lobbies : chasseurs, agro-industriels, BIP… pour qui le vivant est soit une proie à éliminer, soit une entrave à leurs intérêts économiques et financiers. Le loup, comme l’ours, est un symbole de cette folie destructrice des hommes qui voient dans la nature une ennemie à soumettre, au lieu d’une partenaire à respecter. C’est fièrement assis sur les monceaux de cadavres de tous les êtres vivants que nous aurons chassés ou empoisonnés que nous disparaîtrons à notre tour. Tel est l’issue vers laquelle nous entraînent nos (ri )responsables, qu’ils soient français, européens ou d’ailleurs. Anne-Marie PENON;défavorable tuer tuer tuer honte citoyen pays distinguer attaquer biodiversité politique main lobbies chasseur agro-industriels bip pour vivant proie éliminer entrave intérêt économique financier loup ours symbole folie destructeur homme voir nature ennemi soumettre lieu partenaire respecter fièrement assis monceau cadavre être vivant avoir chasser empoisonner disparaître tour issue entraîner rire responsable être français européen ailleurs anne marier penon;Défavorable
DÉFAVORABLE ;28 mai 2025;09h41;DÉFAVORABLE , le 28 mai 2025 à 09h41;DÉFAVORABLE . bonjour, non aux dérogations d’interdiction de tuer les loups, il y a suffisamment d’informations sur les bienfaits de la présence du loup dans la nature qui permet de réguler la quantité de chevreuils de cerfs et de sangliers et œuvre à ramener la biodiversité, flore et faune cordialement Mme Penon Catherine;DÉFAVORABLE . bonjour, non aux dérogations d’interdiction de tuer les loups, il y a suffisamment d’informations sur les bienfaits de la présence du loup dans la nature qui permet de réguler la quantité de chevreuils de cerfs et de sangliers et œuvre à ramener la biodiversité, flore et faune cordialement Mme Penon Catherine;défavorable bonjour non dérogation interdiction tuer loup suffisamment information bienfait présence loup nature réguler quantité chevreuil cerf sanglier œuvre ramener biodiversité flore faune cordialement mme penon catherine;Défavorable
Loup;28 mai 2025;09h39;Loup, le 28 mai 2025 à 09h39;Loup. Avis défavorable à cette modification;Loup. Avis défavorable à cette modification;loup avis défavorable modification;Défavorable
Avis DEFAVORABLE au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup., le 28 mai 2025 à 09h31;28 mai 2025;09h39;Avis DEFAVORABLE au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup., le 28 mai 2025 à 09h31, le 28 mai 2025 à 09h39;Avis DEFAVORABLE au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup., le NOMBRE mai NOMBRE à . La présence des loups est une garantie du maintien de la biodiversité. Un loup n’attaque pas un troupeau protégé.;Avis DÉFAVORABLE au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup., le NOMBRE mai NOMBRE à . La présence des loups est une garantie du maintien de la biodiversité. Un loup n’attaque pas un troupeau protégé.;avis défavorable projet arrêté dérogation interdiction destruction loup nombre mai nombre présence loup garantie maintien biodiversité loup attaquer troupeau protéger;Défavorable
modification arrêté 21 fevrier 2024 protection des loups;28 mai 2025;13h39;modification arrêté 21 fevrier 2024 protection des loups, le 28 mai 2025 à 13h39;modification arrêté NOMBRE fevrier NOMBRE protection des loups. avis DEFAVORABLE, il faut proteger les loups et leur permettre de vivre et de continuer ainsi à être uiles pour la biodiversité.;modification arrêté NOMBRE février NOMBRE protection des loups. avis DÉFAVORABLE, il faut protéger les loups et leur permettre de vivre et de continuer ainsi à être iules pour la biodiversité.;modification arrêté nombre février nombre protection loup avis défavorable falloir protéger loup permettre vivre continuer iule pour biodiversité;Défavorable
AVIS DEFAVORABLE;28 mai 2025;13h48;AVIS DEFAVORABLE, le 28 mai 2025 à 13h48;AVIS DEFAVORABLE. L’État n’a pas démontré l’efficacité des tirs pour protéger durablement les élevages bovins ou équins. D’autres pays voisins ont validé d’autres pratiques qui pourraient plus utilement aider les éleveurs à protéger leurs animaux. Un tir doit être justifié par l’existence de « dommages importants aux troupeaux domestiques ». Une seule attaque en NOMBRE mois est un seuil beaucoup trop bas qui ne correspond pas à la définition des « dommages importants » et qui ne peut justifier d’autoriser des tirs létaux quand la possibilité de tirs d’effarouchements pourraient suffire. Le loup doit rester avant tout une espèce protégée et l’Etat doit aider les éleveurs à s’en protéger efficacement avant toute chose.;AVIS DÉFAVORABLE. L’État n’a pas démontré l’efficacité des tirs pour protéger durablement les élevages bovins ou équins. D’autres pays voisins ont validé d’autres pratiques qui pourraient plus utilement aider les éleveurs à protéger leurs animaux. Un tir doit être justifié par l’existence de « dommages importants aux troupeaux domestiques ». Une seule attaque en NOMBRE mois est un seuil beaucoup trop bas qui ne correspond pas à la définition des « dommages importants » et qui ne peut justifier d’autoriser des tirs létaux quand la possibilité de tirs d’effarouchements pourraient suffire. Le loup doit rester avant tout une espèce protégée et l’État doit aider les éleveurs à s’en protéger efficacement avant toute chose.;avis défavorable état démontrer efficacité tir pour protéger durablement élevage bovin équin pays voisin valider pratique pouvoir utilement aider éleveur protéger animal tir justifier existence dommage important troupeau domestique attaquer nombre mois seuil beaucoup trop correspondre définition dommage important justifier autoriser tir létal possibilité tir effarouchement pouvoir suffire loup rester espèce protéger état aider éleveur protéger efficacement chose;Défavorable
Avis défavorable ;28 mai 2025;13h49;Avis défavorable , le 28 mai 2025 à 13h49;Avis défavorable . Le loup est précieux pour l’équilibre de l’écosystème. Il convient de le protéger à tout prix, en travaillant avec les agriculteurs et les éleveurs pour des solutions alternatives.;Avis défavorable . Le loup est précieux pour l’équilibre de l’écosystème. Il convient de le protéger à tout prix, en travaillant avec les agriculteurs et les éleveurs pour des solutions alternatives.;avis défavorable loup précieux pour équilibre écosystème convier protéger prix travailler agriculteur éleveur pour solution alternative;Défavorable
Défavorable;28 mai 2025;09h10;Défavorable, le 28 mai 2025 à 09h10;Défavorable. Il serait temps d’écouter et de respecter la grande majorité du peuple français qui se prononce totalement contre ces abattages immondes et la chasse en général. Marre des demandes de dérogations et de l’impunité de cette minorité archaïque d’un sérail d’obscurantistes imbéciles qui ne représentent, également, qu’une lamentable minorité de voix aux élections … Réfléchissez-y une bonne fois pour toute et agissez en conséquence. Faites votre travail d’élus au lieu de pratiques de vendus.;Défavorable. Il serait temps d’écouter et de respecter la grande majorité du peuple français qui se prononce totalement contre ces abattages immondes et la chasse en général. Marre des demandes de dérogations et de l’impunité de cette minorité archaïque d’un sérail d’obscurantistes imbéciles qui ne représentent, également, qu’une lamentable minorité de voix aux élections … Réfléchissez-y une bonne fois pour toute et agissez en conséquence. Faites votre travail d’élus au lieu de pratiques de vendus.;défavorable temps écouter respecter grand majorité peuple français prononce totalement contre abattage immonde chasse général marre demande dérogation impunité minorité archaïque sérail obscurantiste imbécile représenter lamentable minorité voix élection réfléchir bon fois pour agir conséquence fait travail élu lieu pratique vendre;Défavorable
Non à l’abattage des loups;28 mai 2025;09h09;Non à l’abattage des loups, le 28 mai 2025 à 09h09;"Non à l’abattage des loups. Opposée à ce qu’il y ait encore des loups tués ! Il existe des solutions pour protéger les troupeaux, il faut les appliquer ! Pourquoi se servir comme prétexte des animaux élevés pour être tués comme ""argument"" contre d’autres alors que c’est aux humains de protéger leurs animaux d’élevage ? Toujours plus de morts … Les loups étaient là avant les humains, et si pour une fois on respectait le vivant, qu’on se remettait à notre place, qui n’est celle que d’un animal parmi tant d’autres ? !";"Non à l’abattage des loups. Opposée à ce qu’il y ait encore des loups tués ! Il existe des solutions pour protéger les troupeaux, il faut les appliquer ! Pourquoi se servir comme prétexte des animaux élevés pour être tués comme ""argument"" contre d’autres alors que c’est aux humains de protéger leurs animaux d’élevage ? Toujours plus de morts … Les loups étaient là avant les humains, et si pour une fois on respectait le vivant, qu’on se remettait à notre place, qui n’est celle que d’un animal parmi tant d’autres ? !";non abattage loup opposer loup tuer exister solution pour protéger troupeau falloir appliquer servir prétexte animal élever pour tuer argument contre humain protéger animal élevage mort loup humain pour fois respecter vivant remettre place animal;Défavorable
